"increasing" "decreasing" "random_1" "random_2" "random_3" "random_4" "random_5" "random_6" "random_7" "random_8" "random_9" "random_10" "random_11" "random_12" "random_13" "random_14" "random_15" "random_16" "random_17" "random_18" "random_19" "random_20" "random_21" "random_22" "random_23" "random_24" "random_25" "random_26" "random_27" "random_28" "random_29" "random_30"
29 0 24 20 4 23 1 20 9 19 26 10 25 1 23 8 4 0 17 9 28 5 0 5 28 6 6 27 4 16 4 9
28 1 3 14 25 10 10 9 18 22 20 8 1 25 2 29 14 26 7 15 9 10 2 8 27 18 28 7 17 29 11 28
27 2 6 5 11 18 24 12 27 1 5 9 23 15 4 10 9 14 0 0 21 23 24 23 23 7 23 15 21 8 12 17
26 3 0 27 6 2 14 13 6 14 29 15 24 22 9 19 1 10 11 17 2 1 9 9 18 22 24 10 8 28 25 13
25 4 1 7 3 6 28 23 1 11 23 11 15 13 12 27 24 7 14 5 4 24 14 11 7 1 16 18 7 1 1 12
24 5 22 16 7 11 27 3 14 28 18 22 16 4 5 15 5 19 22 8 17 26 15 16 24 2 7 8 18 13 20 11
23 6 10 24 10 27 8 2 21 9 2 7 4 24 15 13 16 13 6 10 26 12 20 4 10 9 8 6 15 10 2 29
22 7 13 11 24 21 20 1 7 6 11 21 21 29 21 23 29 24 12 19 12 8 10 10 6 21 21 21 0 0 6 23
21 8 17 8 19 20 6 22 2 0 15 6 11 7 3 24 28 16 23 11 14 2 18 2 12 8 15 3 22 18 15 18
20 9 18 17 9 29 18 21 22 17 22 18 20 17 18 26 11 9 9 3 0 27 3 15 1 19 3 17 27 7 28 3
19 10 26 10 22 5 2 25 24 2 4 14 6 20 16 14 10 2 25 16 11 13 26 19 15 26 0 11 2 2 26 15
18 11 9 0 15 1 5 7 20 29 17 19 2 5 26 0 25 5 27 26 10 7 5 20 16 27 26 13 10 22 16 16
17 12 29 2 21 0 26 16 11 5 19 27 10 11 14 28 0 8 16 7 3 17 7 7 26 16 2 5 13 15 7 2
16 13 20 15 17 28 11 0 28 10 9 24 19 9 27 2 20 12 20 12 7 22 21 0 25 28 27 12 16 17 3 21
15 14 27 23 29 26 15 28 25 7 28 17 12 16 11 11 22 25 5 23 16 4 22 12 3 12 11 2 11 26 5 26
14 15 8 1 1 16 9 6 19 3 25 1 28 6 0 4 15 15 13 22 27 0 13 29 2 0 18 25 20 19 17 0
13 16 4 29 12 12 4 29 5 13 21 23 0 12 24 16 6 23 28 21 25 16 1 1 5 4 9 9 28 11 9 7
12 17 21 6 27 4 25 8 13 8 8 12 7 21 7 18 26 3 3 14 19 29 28 24 13 13 10 26 25 27 8 14
11 18 14 25 18 22 23 26 10 12 27 13 26 3 17 9 8 4 4 4 13 18 11 27 21 11 4 19 23 14 14 20
10 19 11 12 16 13 22 24 4 24 12 16 5 28 29 6 27 17 10 25 18 3 19 3 9 15 25 29 19 6 23 27
9 20 12 18 13 19 17 19 3 15 0 5 18 8 22 12 19 27 24 18 8 20 29 18 29 17 14 20 14 12 22 10
8 21 16 26 8 14 13 14 12 18 24 29 9 10 25 5 21 20 8 24 23 15 17 17 8 25 1 28 12 23 10 25
7 22 25 9 0 7 29 18 15 16 13 2 8 14 6 22 23 18 26 6 22 14 6 21 11 14 19 22 24 9 27 4
6 23 7 3 5 17 7 10 26 20 1 26 14 26 13 3 2 29 1 27 24 19 8 14 22 3 17 23 9 5 19 8
5 24 5 13 14 9 19 5 16 27 6 20 3 2 19 20 7 22 18 1 6 25 25 25 20 24 22 16 6 24 13 6
4 25 19 22 23 15 0 4 29 4 3 4 27 23 8 1 12 6 2 29 20 11 4 26 14 10 13 14 29 25 0 5
3 26 28 28 28 3 21 11 8 23 7 0 22 18 28 25 3 21 29 13 5 28 12 28 4 20 5 24 1 21 29 24
2 27 2 4 26 24 3 27 23 25 10 3 29 27 20 21 18 1 21 2 1 9 16 6 17 23 20 0 26 4 18 19
1 28 23 19 2 25 12 17 17 21 16 25 17 19 10 17 13 11 19 28 29 6 27 22 0 5 29 4 5 20 21 22
0 29 15 21 20 8 16 15 0 26 14 28 13 0 1 7 17 28 15 20 15 21 23 13 19 29 12 1 3 3 24 1
