"SName"	"monoculture.t.ha."	"Id"	"Di"	"monoculture_relative"	"site"	"persists"
"AAlb"	6.9e-05	0	5.45088151904219	9.71664201808064e-08	"GrandeDixence"	FALSE
"ACam"	0	7	3.70032665350851	0	"GrandeDixence"	FALSE
"AGlu"	0	10	4.08238233777311	0	"GrandeDixence"	FALSE
"AInc"	0.003791	11	4.20036271601683	5.33852027399184e-06	"GrandeDixence"	FALSE
"APla"	0	8	3.96011541644128	0	"GrandeDixence"	FALSE
"APse"	0	9	3.51845846677564	0	"GrandeDixence"	FALSE
"AVir"	2.716204	12	5.91164313584738	0.00382498288638822	"GrandeDixence"	TRUE
"BPen"	0.004717	13	4.66257804432037	6.64252179699803e-06	"GrandeDixence"	FALSE
"CAve"	0	16	3.86108071747658	0	"GrandeDixence"	FALSE
"CBet"	0	14	3.4407273141339	0	"GrandeDixence"	FALSE
"CSat"	0	15	3.63557912119768	0	"GrandeDixence"	FALSE
"FExc"	0	18	3.50445226944713	0	"GrandeDixence"	FALSE
"FSyl"	0	17	3.84390347447605	0	"GrandeDixence"	FALSE
"LDec"	293.684226	1	5.12023310117073	0.413568766724506	"GrandeDixence"	TRUE
"PAbi"	83.308518	2	4.54005779679717	0.117315803835192	"GrandeDixence"	TRUE
"PCem"	286.532871	3	5.43859590321483	0.403498164336215	"GrandeDixence"	TRUE
"PMon"	43.751719	4	5.66081750476897	0.0616115639418344	"GrandeDixence"	TRUE
"PNig"	0.000641	19	4.25789614695819	9.0266196138981e-07	"GrandeDixence"	FALSE
"PSyl"	0.005936	5	4.32814443523422	8.35912855352561e-06	"GrandeDixence"	FALSE
"PTre"	0.003628	20	3.96304498896519	5.10898220892704e-06	"GrandeDixence"	FALSE
"QPet"	0	21	3.86628219362894	0	"GrandeDixence"	FALSE
"QPub"	0	22	4.08073778979974	0	"GrandeDixence"	FALSE
"QRob"	0	23	4.54173654409529	0	"GrandeDixence"	FALSE
"SAlb"	0	24	3.90985874801175	0	"GrandeDixence"	FALSE
"SAri"	0	25	4.02463010421773	0	"GrandeDixence"	FALSE
"SAuc"	0.10955	26	3.8505448569429	0.000154269294649382	"GrandeDixence"	FALSE
"TBac"	0	6	5.59937170768693	0	"GrandeDixence"	FALSE
"TCor"	0	27	3.91611390270515	0	"GrandeDixence"	FALSE
"TPla"	0	28	4.10423678579605	0	"GrandeDixence"	FALSE
"UGla"	0	29	4.13823208797057	0	"GrandeDixence"	FALSE
"AAlb"	0.057058	0	5.45088151904219	5.48059162222941e-05	"Bever"	FALSE
"ACam"	0	7	3.70032665350851	0	"Bever"	FALSE
