"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Adelboden_increasing_1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.406847	1.14009553333333	-0.0940640143919098	1.23415954772524
"Adelboden_increasing_2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2.349745	1.09624272413793	-0.294726791518275	1.39096951565621
"Adelboden_increasing_3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2.335248	1.11368089285714	-0.209076709999641	1.32275760285678
"Adelboden_increasing_4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2.356671	1.13278251851852	-0.126195255129561	1.25897777364808
"Adelboden_increasing_5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	2.394377	1.12354038461538	-0.252850365902108	1.37639075051749
"Adelboden_increasing_6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	2.292509	0.97687104	-0.144975503316485	1.12184654331648
"Adelboden_increasing_7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1.986143	0.713606583333334	-0.421116780312892	1.13472336364623
"Adelboden_increasing_8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1.970348	0.659199739130435	-0.601373385011583	1.26057312414202
"Adelboden_increasing_9"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1.94832	0.578873136363636	-0.662247140192299	1.24112027655594
"Adelboden_increasing_10"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2.033479	0.684704904761905	-0.732454435320772	1.41715934008268
