"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Basel_increasing_1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.124848	1.13321923333333	0.680827441198989	0.452391792134344
"Basel_increasing_2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2.086623	1.12454186206897	0.667361387201422	0.457180474867543
"Basel_increasing_3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2.158492	1.20211353571429	0.754469022881725	0.447644512832561
"Basel_increasing_4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2.0545	1.10693274074074	0.660575172583847	0.446357568156894
"Basel_increasing_5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	2.368676	1.42957111538462	0.821568949274989	0.608002166109626
"Basel_increasing_6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	2.361864	1.4105168	0.84921323968894	0.56130356031106
"Basel_increasing_7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1.644872	0.757807291666667	0.268007279067663	0.489800012599004
"Basel_increasing_8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1.782015	0.87426347826087	0.346256586450134	0.528006891810736
"Basel_increasing_9"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1.763194	0.815905772727273	0.264678090334152	0.551227682393121
"Basel_increasing_10"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1.429242	0.524348190476191	-0.0264751826120739	0.550823373088264
"Basel_increasing_11"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.530687	0.5890732	0.0539602709068792	0.535112929093121
"Basel_increasing_12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1.590685	0.650305473684211	0.0195827488913951	0.630722724792815
"Basel_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.464949	0.523464722222222	-0.00650648120395864	0.529971203426181
"Basel_increasing_14"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.590584	0.713604294117647	0.194525065523762	0.519079228593885
"Basel_increasing_15"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.592647	0.7005755	0.196231064392226	0.504344435607774
"Basel_increasing_16"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.526493	0.688424866666667	0.160828642897275	0.527596223769392
"Basel_increasing_17"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.530885	0.640250071428571	0.179335889638406	0.460914181790165
"Basel_increasing_18"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69944	0.802173	0.245256002974092	0.556916997025908
"Basel_increasing_19"	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.641076	0.758874166666667	0.333816654288705	0.425057512377961
"Basel_increasing_20"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.714543	0.772607727272727	0.287140698601389	0.485467028671338
"Basel_increasing_21"	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.686175	0.6624575	0.27546055234266	0.38699694765734
"Basel_increasing_22"	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.678012	0.697947444444444	0.26830957798237	0.429637866462074
"Basel_increasing_23"	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.707105	0.7191005	0.278006111685838	0.441094388314162
"Basel_increasing_24"	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.268835	0.349950571428571	-0.331197626993716	0.681148198422288
"Basel_increasing_25"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.341069	0.532627833333333	0.00231821778509755	0.530309615548236
"Basel_increasing_26"	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.025747	0.4722386	0.0451178952061686	0.427120704793831
"Basel_increasing_27"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.930998	0.36799875	0.0692485737659156	0.298750176234084
"Basel_increasing_28"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.892548	0.214627333333333	0.178647018807671	0.0359803145256626
"Basel_increasing_29"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.219762	0.6252015	0.376958900549031	0.248242599450969
