"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Bern_increasing_1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.789874	1.09745436666667	0.453497437610465	0.643956929056202
"Bern_increasing_2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2.737546	1.0700685862069	0.46921976528136	0.600848820925537
"Bern_increasing_3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2.664244	1.05235507142857	0.457647922921168	0.594707148507404
"Bern_increasing_4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2.673784	1.05784688888889	0.491714600070757	0.566132288818132
"Bern_increasing_5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	2.711245	1.07982115384615	0.544719004580638	0.535102149265515
"Bern_increasing_6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	2.745101	1.07674184	0.508282386403855	0.568459453596145
"Bern_increasing_7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2.072685	0.455214333333333	0.0665335261169215	0.388680807216412
"Bern_increasing_8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	2.134569	0.467953260869565	0.0129755139511948	0.45497774691837
"Bern_increasing_9"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	2.175427	0.434969272727273	-0.0805652596336126	0.515534532360885
"Bern_increasing_10"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2.118335	0.390335190476191	-0.0763340946404204	0.466669285116611
"Bern_increasing_11"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2.041928	0.42962905	-0.0257590443471928	0.455388094347193
"Bern_increasing_12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2.025099	0.381076157894737	0.0118590998496196	0.369217058045117
"Bern_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2.035089	0.369362777777778	-0.026677251245278	0.396040029023056
"Bern_increasing_14"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.998792	0.384961294117647	0.0710441047277661	0.313917189389881
"Bern_increasing_15"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.950389	0.28333425	-0.0801430845332628	0.363477334533263
"Bern_increasing_16"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.913817	0.255051066666667	-0.037856174593052	0.292907241259719
"Bern_increasing_17"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.961935	0.378757642857143	-0.00494604752702589	0.383703690384169
"Bern_increasing_18"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.943362	0.313660307692308	0.0457164385610361	0.267943869131272
"Bern_increasing_19"	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.946741	0.299303666666667	0.0460413034827596	0.253262363183907
"Bern_increasing_20"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.929629	0.411278363636364	0.161120996210202	0.250157367426162
"Bern_increasing_21"	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.732902	0.3798103	0.220265057490723	0.159545242509277
"Bern_increasing_22"	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.709006	0.374855	0.253139501821778	0.121715498178222
"Bern_increasing_23"	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.706804	0.41545725	-0.768016354167152	1.18347360416715
"Bern_increasing_24"	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.391268	0.00611728571428594	-0.506119769426488	0.512237055140774
"Bern_increasing_25"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.353137	0.175732833333333	-0.241310793228658	0.417043626561991
"Bern_increasing_26"	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.289833	0.3736868	0.0318889624250136	0.341797837574986
"Bern_increasing_27"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.155901	0.30419325	0.0648998315301015	0.239293418469899
"Bern_increasing_28"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901481	0.10002	0.0408517087802378	0.0591682912197622
"Bern_increasing_29"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.545691	0.770707	0.531467362541615	0.239239637458385
"Bern_increasing_30"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015644	0	0	0
"Bern_decreasing_1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.674777	0.982357366666667	0.399308126456023	0.583049240210644
"Bern_decreasing_2"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.730189	0.979949517241379	0.329087461305717	0.650862055935662
"Bern_decreasing_3"	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.719447	0.96149625	0.341193700330464	0.620302549669536
"Bern_decreasing_4"	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.759053	0.967637962962963	0.328451153306743	0.63918680965622
"Bern_decreasing_5"	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.718638	0.896878076923077	0.323778957084105	0.573099119838972
"Bern_decreasing_6"	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.719782	0.87210768	0.287556707367195	0.584550972632805
"Bern_decreasing_7"	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.786071	0.9648975	0.348968212259661	0.615929287740339
"Bern_decreasing_8"	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.697126	0.911189739130435	0.38694331514811	0.524246423982325
"Bern_decreasing_9"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.793448	0.955183681818182	0.370049537338187	0.585134144479995
"Bern_decreasing_10"	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.868934	1.02297066666667	0.369662399400322	0.653308267266345
"Bern_decreasing_11"	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.814316	0.9522324	0.320056361348977	0.632176038651023
"Bern_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.710097	0.916900578947369	0.308179161420216	0.608721417527152
"Bern_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.623204	0.900796166666667	0.41071867888794	0.490077487778727
"Bern_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.694647	0.954266588235294	0.421869132394098	0.532397455841196
"Bern_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.766357	0.978350375	0.434645292347286	0.543705082652714
