"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Bever_increasing_1"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.756207	3.58513258333333	1.11140631766706	2.47372626566627
"Bever_increasing_2"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.728913	3.3728215	0.575596588655708	2.79722491134429
"Bever_increasing_3"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.726388	3.22285375	0.947728477474506	2.27512527252549
"Bever_increasing_4"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.730522	3.08828958333333	1.02064051699865	2.06764906633468
"Bever_increasing_5"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.755076	2.99727975	0.944072325225467	2.05320742477453
"Bever_increasing_6"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.72252	2.78319841666667	0.631485196963425	2.15171321970324
"Bever_increasing_7"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.730905	2.65642508333333	0.844210670353621	1.81221441297971
"Bever_increasing_8"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.738232	2.77402263636364	0.866724260217156	1.90729837614648
"Bever_increasing_9"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.71245	2.56443754545455	0.599742675963658	1.96469486949089
"Bever_increasing_10"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.698089	2.38134381818182	0.737831930810732	1.64351188737109
"Bever_increasing_11"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.713324	2.25467209090909	0.427022940800736	1.82764915010835
"Bever_increasing_12"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.755549	2.17184945454545	0.604905944888593	1.56694350965686
"Bever_increasing_13"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.703141	1.92649554545455	0.345522919181083	1.58097262627346
"Bever_increasing_14"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.709986	2.046421	0.697278870374492	1.34914212962551
"Bever_increasing_15"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.740674	1.9245232	0.672909826012725	1.25161337398728
"Bever_increasing_16"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.691327	1.6764353	0.541006534146094	1.13542876585391
"Bever_increasing_17"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68132	1.4932928	0.467187740220858	1.02610505977914
"Bever_increasing_18"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.693194	1.340597	0.514288300625235	0.826308699374765
"Bever_increasing_19"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.684953	1.1613884	0.494964324654717	0.666424075345283
"Bever_increasing_20"	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.702335	1.16717166666667	0.456300036136334	0.710871630530332
"Bever_increasing_21"	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.690332	1.097071375	0.447837026196032	0.649234348803968
"Bever_increasing_22"	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.759421	1.24405428571429	0.298214929051223	0.945839356663063
"Bever_increasing_23"	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66317	1.21284866666667	0.674922598847056	0.537926067819611
"Bever_increasing_24"	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.701099	0.979904166666667	0.625056867787061	0.354847298879606
"Bever_increasing_25"	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.662593	1.0359336	0.409230754144562	0.626702845855438
"Bever_increasing_26"	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60005	1.258848	0.937502409458814	0.321345590541186
"Bever_increasing_27"	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.279259	1.208481	0.0394724513549087	1.16900854864509
