"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Davos_increasing_1"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1.541522	1.71262257894737	-0.972592528045611	2.68521510699298
"Davos_increasing_2"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1.550598	1.73676377777778	-0.412668304936339	2.14943208271412
"Davos_increasing_3"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1.517584	1.59926433333333	-0.326616916867334	1.92588125020067
"Davos_increasing_4"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1.569772	1.68696788235294	0.529046013839822	1.15792186851312
"Davos_increasing_5"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1.5237	1.52416529411765	-0.0627670161389941	1.58693231025664
"Davos_increasing_6"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1.522005	1.43204323529412	0.611689612960597	0.82035362233352
"Davos_increasing_7"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1.491377	1.3804998125	0.346836136670415	1.03366367582958
"Davos_increasing_8"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1.552177	1.48083793333333	-0.242215316227883	1.72305324956122
"Davos_increasing_9"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1.552803	1.47675721428571	0.0402896250936309	1.43646758919208
"Davos_increasing_10"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.552819	1.47096546153846	0.267928135568743	1.20303732596972
"Davos_increasing_11"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.548706	1.34519015384615	-0.137502387431451	1.4826925412776
"Davos_increasing_12"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.533007	1.20311423076923	-0.281726121300543	1.48484035206977
"Davos_increasing_13"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.540659	1.09578569230769	-0.153335730984119	1.24912142329181
"Davos_increasing_14"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523063	1.12455641666667	0.289994613409175	0.834561803257491
"Davos_increasing_15"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.543749	1.11843709090909	0.0592461374985549	1.05919095341054
"Davos_increasing_16"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.507842	0.929132181818182	0.156896299232319	0.772235882585862
"Davos_increasing_17"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.544213	0.9222257	0.321049561596195	0.601176138403805
"Davos_increasing_18"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.512723	0.7268674	0.290238575098381	0.436628824901619
"Davos_increasing_19"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.512588	0.5754331	0.264807312920382	0.310625787079617
