"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"GrandeDixence_increasing_1"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.222857	2.92540927272727	1.19186318107547	1.7335460916518
"GrandeDixence_increasing_2"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.224416	2.81835054545455	-0.444314835761547	3.26266538121609
"GrandeDixence_increasing_3"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.230119	2.72155672727273	0.32141808622294	2.40013864104979
"GrandeDixence_increasing_4"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.219036	2.582524	0.887844582212569	1.69467941778743
"GrandeDixence_increasing_5"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.24635	2.53626290909091	0.937038190688948	1.59922471840196
"GrandeDixence_increasing_6"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.245577	2.42120154545455	0.612232487117793	1.80896905833675
"GrandeDixence_increasing_7"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.226971	2.26737236363636	0.509805153593003	1.75756721004336
"GrandeDixence_increasing_8"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.251796	2.4297664	0.820572362236786	1.60919403776321
"GrandeDixence_increasing_9"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.244074	2.2875984	0.83586936189593	1.45172903810407
"GrandeDixence_increasing_10"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.224472	2.1220268	-0.361996276620506	2.48402307662051
"GrandeDixence_increasing_11"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.223171	1.9969776	0.455307009932171	1.54167059006783
"GrandeDixence_increasing_12"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.235487	1.8980609	0.844779412929643	1.05328148707036
"GrandeDixence_increasing_13"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.219498	1.745732	0.107494873565718	1.63823712643428
"GrandeDixence_increasing_14"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.237632	1.83866144444444	-0.00174925254557745	1.84041069699002
"GrandeDixence_increasing_15"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.241691	1.70836277777778	-0.505255167842528	2.21361794562031
"GrandeDixence_increasing_16"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.195819	1.49394377777778	0.0980617311680609	1.39588204660972
"GrandeDixence_increasing_17"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.227543	1.41042344444444	0.476929447126603	0.933493997317842
"GrandeDixence_increasing_18"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.230672	1.27854944444444	0.136236300291334	1.14231314415311
"GrandeDixence_increasing_19"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.230686	1.14182677777778	0.508017984161587	0.63380879361619
"GrandeDixence_increasing_20"	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.226866	1.125712375	0.422599261669196	0.703113113330804
"GrandeDixence_increasing_21"	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.232013	0.978787875	-0.435247571524473	1.41403544652447
"GrandeDixence_increasing_22"	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.215223	0.921419857142857	-0.228715827530553	1.15013568467341
