"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Adelboden_increasing_12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2.012159	0.587541105263158	-0.743511360730031	1.33105246599319
"Adelboden_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.924477	0.442408388888889	-0.708962220523575	1.15137060941246
"Adelboden_increasing_14"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.965183	0.523827	-0.897669779534954	1.42149677953495
"Adelboden_increasing_15"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.990222	0.4848051875	-0.877165455221588	1.36197064272159
"Adelboden_increasing_16"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.959196	0.452885933333333	-0.693643700714915	1.14652963404825
"Adelboden_increasing_17"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.938211	0.4870575	-0.546831569388357	1.03388906938836
"Adelboden_increasing_18"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93003	0.367282538461538	0.229223009148444	0.138059529313094
"Adelboden_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.690859	1.58281373684211	-0.0236043365412766	1.60641807338338
"Adelboden_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.666506	1.66500616666667	0.0780039032981299	1.58700226336854
"Adelboden_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.672937	1.63253541176471	0.175022344185445	1.45751306757926
"Adelboden_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.712537	1.6071373125	0.590153233106411	1.01698407939359
"Adelboden_decreasing_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.589785	1.56259213333333	0.727901261709835	0.834690871623499
"Adelboden_decreasing_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.497933	1.50394192857143	0.810567710125479	0.693374218445949
"Adelboden_decreasing_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2.547242	1.50881953846154	0.59285525531052	0.915964283151018
"Adelboden_random_1_12"	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.350637	1.05621105263158	-0.160621619053132	1.21683267168471
"Adelboden_random_1_13"	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.295487	0.998690888888889	-0.358641702961772	1.35733259185066
"Adelboden_random_1_14"	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.299354	0.927465882352941	-0.0879905454994793	1.01545642785242
"Adelboden_random_1_15"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.336266	0.918140125	-0.302178898896725	1.22031902389672
"Adelboden_random_1_16"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.017271	0.661275066666667	-0.674712644332895	1.33598771099956
"Adelboden_random_1_17"	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1.976441	0.547886071428571	-0.410323013789253	0.958209085217825
"Adelboden_random_1_18"	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.03523	0.496819461538461	0.108213927028804	0.388605534509658
"Adelboden_random_2_12"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	2.193881	1.10977736842105	0.454965677462156	0.654811690958897
"Adelboden_random_2_13"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.17989	1.0569175	0.501321918217762	0.555595581782238
"Adelboden_random_2_14"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.206045	1.16619447058824	0.573662508726012	0.592531961862223
"Adelboden_random_2_15"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.158502	1.07968475	0.531348847689213	0.548335902310787
"Adelboden_random_2_16"	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.154937	1.04633753333333	0.481807761399083	0.56452977193425
"Adelboden_random_2_17"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.143439	0.957099	0.440683885105335	0.516415114894665
"Adelboden_random_2_18"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1.874452	0.777630076923077	0.336359603965833	0.441270472957244
"Adelboden_random_3_12"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	2.897143	1.46951715789474	-0.249098011797812	1.71861516969255
"Adelboden_random_3_13"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	2.931336	1.48878038888889	-0.253293434602101	1.74207382349099
"Adelboden_random_3_14"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	3.044104	1.64302670588235	-0.473792714897315	2.11681942077967
"Adelboden_random_3_15"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	2.698401	1.3566360625	-0.818645174540033	2.17528123704003
"Adelboden_random_3_16"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	2.623957	1.3376866	-0.629049018421444	1.96673561842144
"Adelboden_random_3_17"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	2.867051	1.61773092857143	-0.79715521231861	2.41488614089004
"Adelboden_random_3_18"	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	2.903431	1.73991515384615	-0.540073523531488	2.27998867737764
"Adelboden_random_4_12"	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	2.033777	0.702060315789474	-0.351905833337562	1.05396614912704
"Adelboden_random_4_13"	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	2.036988	0.707663277777778	-0.258618371970534	0.966281649748311
"Adelboden_random_4_14"	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	2.029136	0.646108823529412	-0.381146206377822	1.02725502990723
"Adelboden_random_4_15"	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	2.034517	0.5668368125	-0.716451210831605	1.28328802333161
"Adelboden_random_4_16"	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	2.026048	0.544237933333333	-0.564531557332492	1.10876949066583
"Adelboden_random_4_17"	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1.875507	0.502630428571429	-0.598622281655288	1.10125271022672
"Adelboden_random_4_18"	1	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1.805517	0.522115	-0.272000399371498	0.794115399371498
"Adelboden_random_5_12"	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	1	2.158755	0.877570315789474	-2.18500533885384	3.06257565464332
