"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Basel_increasing_12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1.590685	0.650305473684211	0.0195827488913951	0.630722724792815
"Basel_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.464949	0.523464722222222	-0.00650648120395864	0.529971203426181
"Basel_increasing_14"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.590584	0.713604294117647	0.194525065523762	0.519079228593885
"Basel_increasing_15"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.592647	0.7005755	0.196231064392226	0.504344435607774
"Basel_increasing_16"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.526493	0.688424866666667	0.160828642897275	0.527596223769392
"Basel_increasing_17"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.530885	0.640250071428571	0.179335889638406	0.460914181790165
"Basel_increasing_18"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69944	0.802173	0.245256002974092	0.556916997025908
"Basel_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.117873	1.09747431578947	0.695367915924397	0.402106399865077
"Basel_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.159201	1.09462094444444	0.641021317236087	0.453599627208357
"Basel_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.084173	1.02038523529412	0.655413281361854	0.364971953932264
"Basel_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.126565	1.046566625	0.645371192501768	0.401195432498232
"Basel_decreasing_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.154684	1.0094946	0.622623529353644	0.386871070646356
"Basel_decreasing_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.137274	1.0318655	0.649472146135007	0.382393353864994
"Basel_decreasing_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2.143256	1.00170153846154	0.5879615211829	0.413740017278638
"Basel_random_1_12"	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.437157	1.42368257894737	0.895989218147124	0.527693360800245
"Basel_random_1_13"	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.425644	1.38450683333333	0.860619792465545	0.523887040867788
"Basel_random_1_14"	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.389456	1.28719970588235	0.704623968269253	0.5825757376131
"Basel_random_1_15"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.381724	1.26336675	0.700660863088827	0.562705886911173
"Basel_random_1_16"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1.820005	0.793365733333333	0.330023625322246	0.463342108011088
"Basel_random_1_17"	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1.841829	0.818861857142857	0.313232713881568	0.505629143261289
"Basel_random_1_18"	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1.758312	0.718533384615385	0.293597574442019	0.424935810173366
"Basel_random_2_12"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	2.143312	1.00354505263158	0.592389925840996	0.411155126790584
"Basel_random_2_13"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.097869	0.917629888888889	0.526572252548196	0.391057636340693
"Basel_random_2_14"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.174766	1.01813305882353	0.61305433147915	0.405078727344379
"Basel_random_2_15"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.138724	0.9495209375	0.523017281009119	0.426503656490881
"Basel_random_2_16"	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.12508	0.912906133333333	0.445376084309786	0.467530049023548
"Basel_random_2_17"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.164447	0.865840142857143	0.350780549009777	0.515059593847366
"Basel_random_2_18"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1.648523	0.441879230769231	0.0900302467171651	0.351848984052065
"Basel_random_3_12"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	2.558768	1.52062115789474	0.862501677205104	0.658119480689632
"Basel_random_3_13"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	2.61101	1.58153727777778	0.871307680252671	0.710229597525107
"Basel_random_3_14"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	2.57853	1.55448570588235	0.886368477169127	0.668117228713225
"Basel_random_3_15"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	2.02593	1.093765875	0.466630059089906	0.627135815910094
"Basel_random_3_16"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1.962528	1.1040904	0.553609178596196	0.550481221403804
"Basel_random_3_17"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1.48975	0.7012505	0.140756357391691	0.560494142608309
"Basel_random_3_18"	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1.494207	0.805292538461539	0.28208966914464	0.523202869316899
"Basel_random_4_12"	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1.614922	0.839563	0.503442947870432	0.336120052129568
