"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Bern_increasing_12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2.025099	0.381076157894737	0.0118590998496196	0.369217058045117
"Bern_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2.035089	0.369362777777778	-0.026677251245278	0.396040029023056
"Bern_increasing_14"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.998792	0.384961294117647	0.0710441047277661	0.313917189389881
"Bern_increasing_15"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.950389	0.28333425	-0.0801430845332628	0.363477334533263
"Bern_increasing_16"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.913817	0.255051066666667	-0.037856174593052	0.292907241259719
"Bern_increasing_17"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.961935	0.378757642857143	-0.00494604752702589	0.383703690384169
"Bern_increasing_18"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.943362	0.313660307692308	0.0457164385610361	0.267943869131272
"Bern_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.710097	0.916900578947369	0.308179161420216	0.608721417527152
"Bern_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.623204	0.900796166666667	0.41071867888794	0.490077487778727
"Bern_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.694647	0.954266588235294	0.421869132394098	0.532397455841196
"Bern_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.766357	0.978350375	0.434645292347286	0.543705082652714
"Bern_decreasing_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.727764	1.00169066666667	0.452651682744375	0.549038983922292
"Bern_decreasing_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.746035	1.02462692857143	0.5159735527625	0.508653375808928
"Bern_decreasing_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2.750245	0.955055230769231	0.375709638970622	0.579345591798609
"Bern_random_1_12"	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.60542	0.942345052631579	0.465221638231493	0.477123414400086
"Bern_random_1_13"	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.753258	1.06300666666667	0.494918941873986	0.568087724792681
"Bern_random_1_14"	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.568871	0.780113352941176	0.263253232653972	0.516860120287205
"Bern_random_1_15"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.601523	0.7543689375	0.192895585697537	0.561473351802462
"Bern_random_1_16"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.131229	0.353576866666667	-0.086078876442244	0.439655743108911
"Bern_random_1_17"	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.203631	0.400209	-0.0603885644721494	0.46059756447215
"Bern_random_1_18"	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	2.180995	0.314106769230769	-0.153837998988021	0.46794476821879
"Bern_random_2_12"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	2.435539	0.891311052631579	0.493439235947474	0.397871816684105
"Bern_random_2_13"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.456697	0.853741611111111	0.443250993124662	0.410490617986449
"Bern_random_2_14"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.515609	0.973163882352941	0.544027264874689	0.429136617478252
"Bern_random_2_15"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.531132	0.9399244375	0.472277894894249	0.467646542605751
"Bern_random_2_16"	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.473159	0.832831933333334	0.389800785414241	0.443031147919093
"Bern_random_2_17"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	2.462311	0.705935142857143	0.248090219935625	0.457844922921518
"Bern_random_2_18"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	2.005416	0.336217615384615	-0.0516498771407054	0.387867492525321
"Bern_random_3_12"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	3.196231	1.27619957894737	0.469825128417536	0.806374450529833
"Bern_random_3_13"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	3.308297	1.36507427777778	0.559107076838418	0.80596720093936
"Bern_random_3_14"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	3.269729	1.40184347058824	0.57965157365897	0.822191896929265
"Bern_random_3_15"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	2.185209	0.3811858125	-0.270384402788868	0.651570215288868
"Bern_random_3_16"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	2.350336	0.595907933333333	-0.0692363298420384	0.665144263175372
"Bern_random_3_17"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	2.098775	0.362035928571429	-0.319578079203316	0.681614007774744
