"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Bever_increasing_12"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.755549	2.17184945454545	0.604905944888593	1.56694350965686
"Bever_increasing_13"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.703141	1.92649554545455	0.345522919181083	1.58097262627346
"Bever_increasing_14"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.709986	2.046421	0.697278870374492	1.34914212962551
"Bever_increasing_15"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.740674	1.9245232	0.672909826012725	1.25161337398728
"Bever_increasing_16"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.691327	1.6764353	0.541006534146094	1.13542876585391
"Bever_increasing_17"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68132	1.4932928	0.467187740220858	1.02610505977914
"Bever_increasing_18"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.693194	1.340597	0.514288300625235	0.826308699374765
"Bever_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.221204	7.25313233333333	0.583166483756696	6.66996584957664
"Bever_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.999048	8.4618985	0.69068003272268	7.77121846727732
"Bever_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.988881	7.875955	0.606086869222303	7.2698681307777
"Bever_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.992266	7.4085945	0.559866564971622	6.84872793502838
