"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Cottbus_increasing_12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1.966465	1.51811463157895	0.223714708970372	1.29439992260858
"Cottbus_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.938482	1.46803938888889	0.16336951749795	1.30466987139094
"Cottbus_increasing_14"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.929518	1.462247	0.191915360068727	1.27033163993127
"Cottbus_increasing_15"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.937693	1.458003375	0.232063653584158	1.22593972141584
"Cottbus_increasing_16"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.907618	1.50471893333333	0.392841467318448	1.11187746601489
"Cottbus_increasing_17"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.868253	1.43707514285714	0.505335370039426	0.931739772817717
"Cottbus_increasing_18"	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.826429	1.36501392307692	0.375904688009678	0.989109235067244
"Cottbus_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.628898	1.25622152631579	0.453071143191893	0.803150383123896
"Cottbus_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.636838	1.244133	0.379532801911775	0.864600198088225
"Cottbus_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.667425	1.25496123529412	0.393317246497447	0.861643988796671
"Cottbus_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.655978	1.220116125	0.360473566196023	0.859642558803978
"Cottbus_decreasing_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.656806	1.19235306666667	0.432458333561065	0.759894733105602
"Cottbus_decreasing_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.561677	1.180588	0.569313308029487	0.611274691970513
"Cottbus_decreasing_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1.56385	1.17410592307692	0.532654566222921	0.641451356854002
"Cottbus_random_1_12"	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1.965879	1.66483815789474	0.781913789126814	0.882924368767923
"Cottbus_random_1_13"	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1.963595	1.67384044444444	0.782380786286289	0.891459658158156
"Cottbus_random_1_14"	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1.933816	1.62705805882353	0.693873869983931	0.933184188839598
"Cottbus_random_1_15"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1.941084	1.615861875	0.675443943932111	0.940417931067889
"Cottbus_random_1_16"	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1.873765	1.5437224	0.664972048184831	0.878750351815169
"Cottbus_random_1_17"	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1.904282	1.5547225	0.672521076181803	0.882201423818198
"Cottbus_random_1_18"	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1.843744	1.47022561538462	0.613008750983102	0.857216864401514
"Cottbus_random_2_12"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1.635743	1.23121426315789	0.492601445621173	0.738612817536722
"Cottbus_random_2_13"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1.61469	1.20053294444444	0.461456538750533	0.739076405693912
"Cottbus_random_2_14"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1.644893	1.20927664705882	0.444904988795145	0.764371658263679
"Cottbus_random_2_15"	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1.630086	1.1840294375	0.424472761119282	0.759556676380718
"Cottbus_random_2_16"	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1.639109	1.16407073333333	0.347994638695477	0.816076094637856
"Cottbus_random_2_17"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1.632519	1.12359921428571	0.276690166410806	0.846909047874908
"Cottbus_random_2_18"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1.589358	1.06074553846154	0.293644590994615	0.767100947466924
"Cottbus_random_3_12"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	2.102552	1.70324110526316	-0.407484316592699	2.11072542185586
"Cottbus_random_3_13"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	2.108646	1.69258861111111	-0.403274023695938	2.09586263480705
"Cottbus_random_3_14"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	2.069953	1.63014576470588	-0.326824347029524	1.95697011173541
"Cottbus_random_3_15"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	2.057043	1.605555	-0.312584547705397	1.9181395477054
"Cottbus_random_3_16"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	2.025066	1.57843613333333	-0.263963113313236	1.84239924664657
"Cottbus_random_3_17"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1.854991	1.46384107142857	-0.230801290153085	1.69464236158166
