"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Davos_increasing_12"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.533007	1.20311423076923	-0.281726121300543	1.48484035206977
"Davos_increasing_13"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.540659	1.09578569230769	-0.153335730984119	1.24912142329181
"Davos_increasing_14"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523063	1.12455641666667	0.289994613409175	0.834561803257491
"Davos_increasing_15"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.543749	1.11843709090909	0.0592461374985549	1.05919095341054
"Davos_increasing_16"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.507842	0.929132181818182	0.156896299232319	0.772235882585862
"Davos_increasing_17"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.544213	0.9222257	0.321049561596195	0.601176138403805
"Davos_increasing_18"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.512723	0.7268674	0.290238575098381	0.436628824901619
"Davos_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	2.087811	3.661382	-1.24223433458384	4.90361633458383
"Davos_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1.249203	2.35294977777778	-0.441438641281673	2.79438841905945
"Davos_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1.241513	2.19962388888889	-0.415256738023435	2.61488062691232
"Davos_decreasing_15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1.25949	2.09363711111111	-0.291879888920165	2.38551700003128
"Davos_decreasing_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1.243488	2.167958125	-0.452640203531384	2.62059832853138
"Davos_decreasing_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1.25389	2.030725625	-0.384883872977428	2.41560949797743
"Davos_decreasing_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1.239784	2.11553642857143	-0.282039217481979	2.39757564605341
"Davos_random_1_12"	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1.519539	1.81365666666667	-0.210472928661919	2.02412959532859
"Davos_random_1_13"	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1.53909	2.01847790909091	-0.139900251923645	2.15837816101455
