"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"GrandeDixence_increasing_12"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.235487	1.8980609	0.844779412929643	1.05328148707036
"GrandeDixence_increasing_13"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.219498	1.745732	0.107494873565718	1.63823712643428
"GrandeDixence_increasing_14"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.237632	1.83866144444444	-0.00174925254557745	1.84041069699002
"GrandeDixence_increasing_15"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.241691	1.70836277777778	-0.505255167842528	2.21361794562031
"GrandeDixence_increasing_16"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.195819	1.49394377777778	0.0980617311680609	1.39588204660972
"GrandeDixence_increasing_17"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.227543	1.41042344444444	0.476929447126603	0.933493997317842
"GrandeDixence_increasing_18"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.230672	1.27854944444444	0.136236300291334	1.14231314415311
"GrandeDixence_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.016819	0.10106	-0.00228617305490389	0.103346173054904
"GrandeDixence_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.014667	0.1247945	-0.00799529674445685	0.132789796744457
"GrandeDixence_decreasing_14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.014694	0.1176905	-0.00714320074831541	0.124833700748315
