"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Davos_increasing_17"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.544213	0.9222257	0.321049561596195	0.601176138403805
"Davos_decreasing_17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1.25389	2.030725625	-0.384883872977428	2.41560949797743
"Davos_random_1_17"	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1.528004	1.78739244444444	-0.466919687293497	2.25431213173794
"Davos_random_2_17"	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1.491855	2.45094371428571	0.168969603087211	2.2819741111985
"Davos_random_3_17"	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1.870384	2.01187811111111	-0.301600742441146	2.31347885355226
"Davos_random_4_17"	1	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1.523555	1.2907656	-0.742105388353358	2.03287098835336
"Davos_random_5_17"	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	2.055594	2.40963755555556	-2.8466862899279	5.25632384548346
"Davos_random_6_17"	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1.487064	1.76056922222222	0.0481804357909165	1.71238878643131
"Davos_random_7_17"	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1.471625	1.85246444444444	0.915280242853925	0.937184201590519
"Davos_random_8_17"	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1.64453	1.88191033333333	-0.29501563303308	2.17692596636641
"Davos_random_9_17"	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1.957232	2.33345022222222	-1.70893406407196	4.04238428629418
"Davos_random_10_17"	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1.809227	1.7929644	0.101061730982798	1.6919026690172
"Davos_random_11_17"	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	1.588953	1.50069690909091	-2.26958398507594	3.77028089416685
"Davos_random_12_17"	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1.876453	1.5743996	-2.09272828143633	3.66712788143633
"Davos_random_13_17"	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1.835101	2.16433675	-0.590190194914753	2.75452694491475
"Davos_random_14_17"	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1.543137	1.818495125	1.05511870120939	0.763376423790611
"Davos_random_15_17"	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1.801631	1.906562	-1.0115509630451	2.9181129630451
"Davos_random_16_17"	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1.338797	1.4408092	-2.66037701684405	4.10118621684405
"Davos_random_17_17"	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1.55459	1.2419852	-0.830403937100074	2.07238913710007
"Davos_random_18_17"	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1.732531	2.456233875	0.902983033425603	1.5532508415744
"Davos_random_19_17"	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1.487068	1.42720636363636	1.03406724315983	0.393139120476532
"Davos_random_20_17"	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1.908536	2.18317688888889	-3.6216377526098	5.80481464149869
"Davos_random_21_17"	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1.636056	2.460432875	-2.03987300809984	4.50030588309984
"Davos_random_22_17"	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1.476636	1.3758065	0.811832753151784	0.563973746848216
"Davos_random_23_17"	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1.849267	2.05595533333333	0.188503985337231	1.8674513479961
"Davos_random_24_17"	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1.544758	1.4694979	-0.271367665396655	1.74086556539665
"Davos_random_25_17"	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1.709939	3.14925071428571	-0.509474037429993	3.65872475171571
"Davos_random_26_17"	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1.505732	1.3278316	0.483608048483499	0.8442235515165
"Davos_random_27_17"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1.84759	3.79397366666667	-2.14575933326872	5.93973299993539
"Davos_random_28_17"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1.868489	2.0035414	-0.29974793513732	2.30328933513732
"Davos_random_29_17"	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1.891657	1.482026	-0.982203761051272	2.46422976105127
"Davos_random_30_17"	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1.589421	2.298416875	-1.15738479071422	3.45580166571422
