"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"GrandeDixence_increasing_16"	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.195819	1.49394377777778	0.0980617311680609	1.39588204660972
"GrandeDixence_decreasing_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.01487	0.1043165	-0.00437213450280814	0.108688634502808
"GrandeDixence_random_1_16"	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.656915	2.299607	0.720215744456217	1.57939125554378
"GrandeDixence_random_2_16"	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.089047	3.524752	0.754774219501053	2.76997778049895
"GrandeDixence_random_3_16"	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.444348	2.98747016666667	0.328483684023787	2.65898648264288
"GrandeDixence_random_4_16"	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.200605	2.14078528571429	1.31919915836682	0.821586127347462
"GrandeDixence_random_5_16"	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.449722	2.70035614285714	1.23246373160329	1.46789241125385
"GrandeDixence_random_6_16"	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.190249	2.48988666666667	0.562418517424345	1.92746814924232
"GrandeDixence_random_7_16"	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.655031	1.812421	0.517436027944663	1.29498497205534
"GrandeDixence_random_8_16"	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.343958	2.54251485714286	1.16382017060753	1.37869468653533
"GrandeDixence_random_9_16"	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.474564	4.907323	2.51519973340587	2.39212326659413
"GrandeDixence_random_10_16"	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.460105	3.01109716666667	0.796321514736116	2.21477565193055
"GrandeDixence_random_11_16"	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.878786	2.02556583333333	0.40876286741344	1.61680296591989
"GrandeDixence_random_12_16"	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.531776	2.86227271428571	2.00753759958309	0.854735114702627
