"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Bern_increasing_13"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2.035089	0.369362777777778	-0.026677251245278	0.396040029023056
"Bern_decreasing_13"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.623204	0.900796166666667	0.41071867888794	0.490077487778727
"Bern_random_1_13"	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	2.753258	1.06300666666667	0.494918941873986	0.568087724792681
"Bern_random_2_13"	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	2.456697	0.853741611111111	0.443250993124662	0.410490617986449
"Bern_random_3_13"	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	3.308297	1.36507427777778	0.559107076838418	0.80596720093936
"Bern_random_4_13"	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	2.171179	0.444188944444445	0.163415488957847	0.280773455486597
"Bern_random_5_13"	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1.746725	0.000429722222222339	-0.576049740109044	0.576479462331266
"Bern_random_6_13"	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	2.016765	0.592234055555555	0.276729793426985	0.31550426212857
"Bern_random_7_13"	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	2.585665	0.946104166666667	0.464968180987638	0.481135985679029
"Bern_random_8_13"	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	2.118012	0.315828944444445	-0.161529422193182	0.477358366637626
"Bern_random_9_13"	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	2.769958	1.005139	0.387216576004527	0.617922423995473
"Bern_random_10_13"	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	3.131332	1.54955288888889	0.817312143300266	0.732240745588623
"Bern_random_11_13"	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	2.614766	0.966458777777778	0.49511605829318	0.471342719484597
"Bern_random_12_13"	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	3.114967	1.265832	0.59625244889	0.66957955111
"Bern_random_13_13"	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1.798351	0.215400555555556	-0.137336540292013	0.352737095847569
"Bern_random_14_13"	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	2.004575	0.236136166666667	-0.246995165398577	0.483131332065243
"Bern_random_15_13"	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	2.307239	0.693944722222222	-0.223815108703538	0.91775983092576
"Bern_random_16_13"	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	2.773688	0.983199055555556	0.138514022031124	0.844685033524432
"Bern_random_17_13"	1	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	2.085637	0.398675888888889	0.128527561553157	0.270148327335732
"Bern_random_18_13"	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	2.784089	1.23926283333333	0.472346632453282	0.766916200880051
"Bern_random_19_13"	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	2.550255	0.969013333333333	0.533708339198716	0.435304994134617
"Bern_random_20_13"	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	2.609138	1.00878755555556	0.206499480215118	0.802288075340438
"Bern_random_21_13"	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1.910897	0.468155944444444	0.00112430287144905	0.467031641572995
"Bern_random_22_13"	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1.870307	0.412140888888889	0.0847724746605023	0.327368414228386
"Bern_random_23_13"	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1.856273	0.445752555555556	0.203560896253281	0.242191659302275
"Bern_random_24_13"	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	2.018419	0.1420585	-0.252558250110998	0.394616750110998
"Bern_random_25_13"	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	2.55746	0.834255	0.294577597417098	0.539677402582902
"Bern_random_26_13"	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	2.520882	0.879423666666667	0.424755659299688	0.454668007366979
"Bern_random_27_13"	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	2.728119	0.956392055555556	0.245559131405128	0.710832924150427
"Bern_random_28_13"	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	2.488786	0.832551111111111	0.343051369261722	0.489499741849389
"Bern_random_29_13"	1	0	0	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	3.100177	1.35200488888889	0.710505020753733	0.641499868135156
"Bern_random_30_13"	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	2.669908	0.992643722222222	0.424713345536685	0.567930376685537
