"assemblage"	"AVir"	"PMon"	"TBac"	"AAlb"	"PCem"	"LDec"	"BPen"	"QRob"	"PAbi"	"PSyl"	"PNig"	"AInc"	"UGla"	"TPla"	"AGlu"	"QPub"	"SAri"	"PTre"	"APla"	"TCor"	"SAlb"	"QPet"	"CAve"	"SAuc"	"FSyl"	"ACam"	"CSat"	"APse"	"FExc"	"CBet"	"productivity"	"DeltaY"	"Selection"	"Complementarity"
"Bever_increasing_12"	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.755549	2.17184945454545	0.604905944888593	1.56694350965686
"Bever_decreasing_12"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.221204	7.25313233333333	0.583166483756696	6.66996584957664
"Bever_random_1_12"	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.646222	3.88397514285714	2.02104141434522	1.86293372851192
"Bever_random_2_12"	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.640061	4.43657133333333	1.6815725233239	2.75499881000944
"Bever_random_3_12"	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.637393	3.119564625	0.471827413709854	2.64773721129015
"Bever_random_4_12"	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.655392	2.71991488888889	1.06803705675051	1.65187783213838
"Bever_random_5_12"	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.560612	2.794961375	0.680350582626525	2.11461079237348
"Bever_random_6_12"	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.674789	3.176395125	0.439776712342237	2.73661841265776
"Bever_random_7_12"	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.496168	2.818209125	-0.206888263851233	3.02509738885123
"Bever_random_8_12"	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.730721	2.465099	0.828961138767719	1.63613786123228
"Bever_random_9_12"	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.674936	4.49594933333333	0.6390140388352	3.85693529449813
"Bever_random_10_12"	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1.705872	3.3077775	1.46579600199845	1.84198149800155
