"SName"	"Di"	"monoculture"	"Name"	"Id"	"monoculture_relative"	"site"	"persists"
"AAlb"	5.45088151904219	6.9e-05	"Abies alba"	0	1.53122092899396e-05	"GrandeDixence"	FALSE
"ACam"	3.70032665350851	0	"Acer campestre"	7	0	"GrandeDixence"	FALSE
"AGlu"	4.08238233777311	0	"Alnus glutinosa"	10	0	"GrandeDixence"	FALSE
"AInc"	4.20036271601683	0.001964	"Alnus incana"	11	0.000435843174571613	"GrandeDixence"	FALSE
"APla"	3.96011541644128	0	"Acer platanoides"	8	0	"GrandeDixence"	FALSE
"APse"	3.51845846677564	0	"Acer pseudoplatanus"	9	0	"GrandeDixence"	FALSE
"AVir"	5.91164313584738	0.107268	"Alnus viridis"	12	0.0238044937117861	"GrandeDixence"	TRUE
"BPen"	4.66257804432037	0.002518	"Betula pendula"	13	0.000558784681044461	"GrandeDixence"	FALSE
"CAve"	3.86108071747658	0	"Corylus avellana"	16	0	"GrandeDixence"	FALSE
"CBet"	3.4407273141339	0	"Carpinus betulus"	14	0	"GrandeDixence"	FALSE
"CSat"	3.63557912119768	0	"Castanea sativa"	15	0	"GrandeDixence"	FALSE
"FExc"	3.50445226944713	0	"Fraxinus excelsior"	18	0	"GrandeDixence"	FALSE
"FSyl"	3.84390347447605	0	"Fagus sylvatica"	17	0	"GrandeDixence"	FALSE
"LDec"	5.12023310117073	1.477949	"Larix decidua"	1	0.327980643592129	"GrandeDixence"	TRUE
"PAbi"	4.54005779679717	0.651411	"Picea abies"	2	0.144558573416939	"GrandeDixence"	TRUE
"PCem"	5.43859590321483	1.34642	"Pinus cembra"	3	0.298792243944354	"GrandeDixence"	TRUE
"PMon"	5.66081750476897	0.901433	"Pinus montana"	4	0.200042474737074	"GrandeDixence"	TRUE
"PNig"	4.25789614695819	0	"Populus nigra"	19	0	"GrandeDixence"	FALSE
"PSyl"	4.32814443523422	0.002759	"Pinus sylvestris"	5	0.000612266455520917	"GrandeDixence"	FALSE
"PTre"	3.96304498896519	0.001853	"Populus tremula"	20	0.00041121049006171	"GrandeDixence"	FALSE
"QPet"	3.86628219362894	0	"Quercus petraea"	21	0	"GrandeDixence"	FALSE
