"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.07531	"Adelboden"	"increasing"	1	0.0312898991917642	TRUE
"ACam"	9e-04	"Adelboden"	"increasing"	1	0.000373933199742235	FALSE
"AGlu"	0.060166	"Adelboden"	"increasing"	1	0.0249978498841015	TRUE
"AInc"	0.004383	"Adelboden"	"increasing"	1	0.00182105468274469	FALSE
"APla"	0.00375	"Adelboden"	"increasing"	1	0.00155805499892598	FALSE
"APse"	0.03275	"Adelboden"	"increasing"	1	0.0136070136572869	TRUE
"AVir"	0	"Adelboden"	"increasing"	1	0	FALSE
"BPen"	0.001737	"Adelboden"	"increasing"	1	0.000721691075502514	FALSE
"CAve"	2.4e-05	"Adelboden"	"increasing"	1	9.97155199312628e-06	FALSE
"CBet"	0.079029	"Adelboden"	"increasing"	1	0.0328350742693657	TRUE
"CSat"	0.000336	"Adelboden"	"increasing"	1	0.000139601727903768	FALSE
"FExc"	0.027965	"Adelboden"	"increasing"	1	0.0116189354786573	TRUE
"FSyl"	0.611278	"Adelboden"	"increasing"	1	0.25397459830226	TRUE
"LDec"	0.004506	"Adelboden"	"increasing"	1	0.00187215888670946	FALSE
"PAbi"	1.233662	"Adelboden"	"increasing"	1	0.51256353228934	TRUE
"PCem"	0.00051	"Adelboden"	"increasing"	1	0.000211895479853933	FALSE
"PMon"	2.6e-05	"Adelboden"	"increasing"	1	1.08025146592201e-05	FALSE
"PNig"	0.213004	"Adelboden"	"increasing"	1	0.0884991858643279	TRUE
"PSyl"	2.8e-05	"Adelboden"	"increasing"	1	1.1633477325314e-05	FALSE
"PTre"	0.005189	"Adelboden"	"increasing"	1	0.00215593263718051	FALSE
"QPet"	0.036349	"Adelboden"	"increasing"	1	0.0151023309749228	TRUE
"QPub"	1.8e-05	"Adelboden"	"increasing"	1	7.47866399484471e-06	FALSE
"QRob"	2.1e-05	"Adelboden"	"increasing"	1	8.72510799398549e-06	FALSE
"SAlb"	0.011451	"Adelboden"	"increasing"	1	0.00475767674472037	TRUE
"SAri"	7.7e-05	"Adelboden"	"increasing"	1	3.19920626446135e-05	FALSE
"SAuc"	0.000174	"Adelboden"	"increasing"	1	7.22937519501655e-05	FALSE
"TBac"	0.000838	"Adelboden"	"increasing"	1	0.000348173357093326	FALSE
"TCor"	8.3e-05	"Adelboden"	"increasing"	1	3.4484950642895e-05	FALSE
"TPla"	0.000206	"Adelboden"	"increasing"	1	8.55891546076672e-05	FALSE
"UGla"	0.003077	"Adelboden"	"increasing"	1	0.0012784360617854	FALSE
"AAlb"	0.093652	"Adelboden"	"increasing"	2	0.0398562397196291	TRUE
"ACam"	0.001268	"Adelboden"	"increasing"	2	0.000539633024008988	FALSE
"AGlu"	0.059092	"Adelboden"	"increasing"	2	0.0251482607687217	TRUE
"AInc"	0.004958	"Adelboden"	"increasing"	2	0.0021100161932465	FALSE
"APla"	0.004315	"Adelboden"	"increasing"	2	0.00183636947839021	FALSE
"APse"	0.039759	"Adelboden"	"increasing"	2	0.0169205594649632	TRUE
"AVir"	3.6e-05	"Adelboden"	"increasing"	2	1.53208114071953e-05	FALSE
"BPen"	0.001757	"Adelboden"	"increasing"	2	0.000747740712290057	FALSE
"CAve"	6.8e-05	"Adelboden"	"increasing"	2	2.89393104358132e-05	FALSE
"CSat"	0.000236	"Adelboden"	"increasing"	2	0.000100436430336058	FALSE
"FExc"	0.038581	"Adelboden"	"increasing"	2	0.0164192284694722	TRUE
"FSyl"	0.657	"Adelboden"	"increasing"	2	0.279604808181313	TRUE
"LDec"	0.002832	"Adelboden"	"increasing"	2	0.00120523716403269	FALSE
"PAbi"	1.176086	"Adelboden"	"increasing"	2	0.500516439017851	TRUE
"PCem"	9.9e-05	"Adelboden"	"increasing"	2	4.21322313697869e-05	FALSE
"PMon"	0	"Adelboden"	"increasing"	2	0	FALSE
"PNig"	0.205621	"Adelboden"	"increasing"	2	0.0875077933988582	TRUE
"PSyl"	0.000126	"Adelboden"	"increasing"	2	5.36228399251834e-05	FALSE
"PTre"	0.005366	"Adelboden"	"increasing"	2	0.00228365205586138	TRUE
"QPet"	0.040924	"Adelboden"	"increasing"	2	0.0174163579452238	TRUE
"QPub"	6.3e-05	"Adelboden"	"increasing"	2	2.68114199625917e-05	FALSE
"QRob"	0.000147	"Adelboden"	"increasing"	2	6.25599799127139e-05	FALSE
"SAlb"	0.012332	"Adelboden"	"increasing"	2	0.00524822906315366	FALSE
"SAri"	0.000121	"Adelboden"	"increasing"	2	5.14949494519618e-05	FALSE
"SAuc"	0.000259	"Adelboden"	"increasing"	2	0.000110224726512877	FALSE
"TBac"	0.000875	"Adelboden"	"increasing"	2	0.000372380832813773	FALSE
"TCor"	9.3e-05	"Adelboden"	"increasing"	2	3.95787628019211e-05	FALSE
"TPla"	0.000282	"Adelboden"	"increasing"	2	0.000120013022689696	FALSE
"UGla"	0.003797	"Adelboden"	"increasing"	2	0.00161592002536445	FALSE
"AAlb"	0.086377	"Adelboden"	"increasing"	3	0.0369883626920995	TRUE
"ACam"	0.001213	"Adelboden"	"increasing"	3	0.000519430912691072	FALSE
"AGlu"	0.063748	"Adelboden"	"increasing"	3	0.0272981713291265	TRUE
"AInc"	0.0071	"Adelboden"	"increasing"	3	0.00304036230841435	FALSE
"APla"	0.004281	"Adelboden"	"increasing"	3	0.00183321000596082	FALSE
"APse"	0.038571	"Adelboden"	"increasing"	3	0.0165168752954718	TRUE
"AVir"	0	"Adelboden"	"increasing"	3	0	FALSE
"BPen"	0.004955	"Adelboden"	"increasing"	3	0.00212183031523847	FALSE
"CAve"	1.3e-05	"Adelboden"	"increasing"	3	5.56686056470234e-06	FALSE
"CSat"	0.00024	"Adelboden"	"increasing"	3	0.000102772810425274	FALSE
"FSyl"	0.61933	"Adelboden"	"increasing"	3	0.265209519502854	TRUE
"LDec"	0.026702	"Adelboden"	"increasing"	3	0.0114343315998986	TRUE
"PAbi"	1.209576	"Adelboden"	"increasing"	3	0.517964687262338	TRUE
"PCem"	8.9e-05	"Adelboden"	"increasing"	3	3.81115838660391e-05	FALSE
"PMon"	0.000102	"Adelboden"	"increasing"	3	4.36784444307414e-05	FALSE
"PNig"	0.222854	"Adelboden"	"increasing"	3	0.0954305495604749	TRUE
"PSyl"	0.000128	"Adelboden"	"increasing"	3	5.48121655601461e-05	FALSE
"PTre"	0.00843	"Adelboden"	"increasing"	3	0.00360989496618775	FALSE
"QPet"	0.024116	"Adelboden"	"increasing"	3	0.0103269545675663	TRUE
"QPub"	0.000117	"Adelboden"	"increasing"	3	5.0101745082321e-05	FALSE
"QRob"	4.8e-05	"Adelboden"	"increasing"	3	2.05545620850548e-05	FALSE
"SAlb"	0.011904	"Adelboden"	"increasing"	3	0.00509753139709359	TRUE
"SAri"	7.6e-05	"Adelboden"	"increasing"	3	3.25447233013367e-05	FALSE
"SAuc"	0.000337	"Adelboden"	"increasing"	3	0.000144310154638822	FALSE
"TBac"	0.000921	"Adelboden"	"increasing"	3	0.000394390660006989	FALSE
"TCor"	0.000109	"Adelboden"	"increasing"	3	4.66759847348119e-05	FALSE
"TPla"	0.000268	"Adelboden"	"increasing"	3	0.000114762971641556	FALSE
"UGla"	0.003643	"Adelboden"	"increasing"	3	0.00156000561824697	FALSE
"AAlb"	0.077309	"Adelboden"	"increasing"	4	0.0328043244050612	TRUE
"ACam"	0.001377	"Adelboden"	"increasing"	4	0.000584298784174796	FALSE
"AGlu"	0.064632	"Adelboden"	"increasing"	4	0.027425126375298	TRUE
"AInc"	0.004148	"Adelboden"	"increasing"	4	0.00176010991776111	FALSE
"APla"	0.004534	"Adelboden"	"increasing"	4	0.00192390028137148	FALSE
"AVir"	1.2e-05	"Adelboden"	"increasing"	4	5.09192840239473e-06	FALSE
"BPen"	0.004136	"Adelboden"	"increasing"	4	0.00175501798935872	FALSE
"CAve"	2.8e-05	"Adelboden"	"increasing"	4	1.18811662722544e-05	FALSE
"CSat"	0.000343	"Adelboden"	"increasing"	4	0.000145544286835116	FALSE
"FSyl"	0.640981	"Adelboden"	"increasing"	4	0.271985779941282	TRUE
"LDec"	0.002382	"Adelboden"	"increasing"	4	0.00101074778787535	FALSE
"PAbi"	1.257225	"Adelboden"	"increasing"	4	0.533474973808393	TRUE
"PCem"	0.002691	"Adelboden"	"increasing"	4	0.00114186494423702	TRUE
"PMon"	0	"Adelboden"	"increasing"	4	0	FALSE
"PNig"	0.235664	"Adelboden"	"increasing"	4	0.0999986845851627	TRUE
"PSyl"	4.6e-05	"Adelboden"	"increasing"	4	1.95190588758465e-05	FALSE
"PTre"	0.005617	"Adelboden"	"increasing"	4	0.0023834468196876	FALSE
"QPet"	0.036994	"Adelboden"	"increasing"	4	0.0156975666098492	TRUE
"QPub"	8.3e-05	"Adelboden"	"increasing"	4	3.52191714498969e-05	FALSE
"QRob"	5.3e-05	"Adelboden"	"increasing"	4	2.24893504439101e-05	FALSE
"SAlb"	0.013129	"Adelboden"	"increasing"	4	0.0055709939995867	TRUE
"SAri"	8.9e-05	"Adelboden"	"increasing"	4	3.77651356510943e-05	FALSE
"SAuc"	0.000274	"Adelboden"	"increasing"	4	0.000116265698521346	FALSE
"TBac"	0.000727	"Adelboden"	"increasing"	4	0.000308485995711748	FALSE
"TCor"	0.000126	"Adelboden"	"increasing"	4	5.34652482251447e-05	FALSE
"TPla"	0.000222	"Adelboden"	"increasing"	4	9.42006754443026e-05	FALSE
"UGla"	0.003849	"Adelboden"	"increasing"	4	0.00163323603506811	FALSE
"AAlb"	0.075937	"Adelboden"	"increasing"	5	0.0317147216165207	TRUE
"ACam"	0.001601	"Adelboden"	"increasing"	5	0.000668649924385341	FALSE
"AGlu"	0.069327	"Adelboden"	"increasing"	5	0.0289540870130309	TRUE
"AInc"	0.004062	"Adelboden"	"increasing"	5	0.00169647469884651	FALSE
"APla"	0.004834	"Adelboden"	"increasing"	5	0.00201889677356573	FALSE
"AVir"	0	"Adelboden"	"increasing"	5	0	FALSE
"BPen"	0.00173	"Adelboden"	"increasing"	5	0.000722526151896715	FALSE
"CAve"	4.6e-05	"Adelboden"	"increasing"	5	1.92116780273115e-05	FALSE
"FSyl"	0.643562	"Adelboden"	"increasing"	5	0.268780563795927	TRUE
"LDec"	0.001937	"Adelboden"	"increasing"	5	0.000808978703019616	FALSE
"PAbi"	1.282214	"Adelboden"	"increasing"	5	0.535510489785025	TRUE
"PCem"	0.000826	"Adelboden"	"increasing"	5	0.000344974914142593	FALSE
"PMon"	0	"Adelboden"	"increasing"	5	0	FALSE
"PNig"	0.246106	"Adelboden"	"increasing"	5	0.102784983317164	TRUE
"PSyl"	4.5e-05	"Adelboden"	"increasing"	5	1.87940328528047e-05	FALSE
"PTre"	0.007105	"Adelboden"	"increasing"	5	0.00296736896487061	FALSE
"QPet"	0.033145	"Adelboden"	"increasing"	5	0.0138428493090269	TRUE
"QPub"	1.7e-05	"Adelboden"	"increasing"	5	7.09996796661512e-06	FALSE
"QRob"	2.7e-05	"Adelboden"	"increasing"	5	1.12764197116828e-05	FALSE
"SAlb"	0.016332	"Adelboden"	"increasing"	5	0.00682098099004459	TRUE
"SAri"	7.4e-05	"Adelboden"	"increasing"	5	3.09057429135011e-05	FALSE
"SAuc"	0.000221	"Adelboden"	"increasing"	5	9.22995835659965e-05	FALSE
"TBac"	0.000885	"Adelboden"	"increasing"	5	0.000369615979438493	FALSE
"TCor"	0.000174	"Adelboden"	"increasing"	5	7.26702603641782e-05	FALSE
"TPla"	0.000256	"Adelboden"	"increasing"	5	0.000106917164673733	FALSE
"UGla"	0.003914	"Adelboden"	"increasing"	5	0.0016346632130195	FALSE
"AAlb"	0.072843	"Adelboden"	"increasing"	6	0.0317743572653368	TRUE
"AGlu"	0.065243	"Adelboden"	"increasing"	6	0.0284592121557647	TRUE
"AInc"	0.006026	"Adelboden"	"increasing"	6	0.00262856110924755	FALSE
"APla"	0.004566	"Adelboden"	"increasing"	6	0.0019917042855666	FALSE
"AVir"	0	"Adelboden"	"increasing"	6	0	FALSE
"BPen"	0.003956	"Adelboden"	"increasing"	6	0.00172562027019305	FALSE
"CAve"	2e-05	"Adelboden"	"increasing"	6	8.72406607782129e-06	FALSE
"FSyl"	0.586214	"Adelboden"	"increasing"	6	0.255708483587196	TRUE
"LDec"	0.014476	"Adelboden"	"increasing"	6	0.00631447902712705	TRUE
"PAbi"	1.268388	"Adelboden"	"increasing"	6	0.553275036215779	TRUE
"PCem"	0.000113	"Adelboden"	"increasing"	6	4.92909733396903e-05	FALSE
"PMon"	0	"Adelboden"	"increasing"	6	0	FALSE
"PNig"	0.214583	"Adelboden"	"increasing"	6	0.0936018135588563	TRUE
"PSyl"	1.9e-05	"Adelboden"	"increasing"	6	8.28786277393022e-06	FALSE
"PTre"	0.009717	"Adelboden"	"increasing"	6	0.00423858750390947	FALSE
"QPet"	0.026864	"Adelboden"	"increasing"	6	0.0117181655557296	TRUE
"QPub"	1.8e-05	"Adelboden"	"increasing"	6	7.85165947003916e-06	FALSE
"QRob"	-1e-06	"Adelboden"	"increasing"	6	-4.36203303891064e-07	FALSE
"SAlb"	0.01403	"Adelboden"	"increasing"	6	0.00611993235359163	TRUE
"SAri"	7.8e-05	"Adelboden"	"increasing"	6	3.4023857703503e-05	FALSE
"SAuc"	0.000297	"Adelboden"	"increasing"	6	0.000129552381255646	FALSE
"TBac"	0.001076	"Adelboden"	"increasing"	6	0.000469354754986785	FALSE
"TCor"	0.000126	"Adelboden"	"increasing"	6	5.49616162902741e-05	FALSE
"TPla"	0.000208	"Adelboden"	"increasing"	6	9.07302872093414e-05	FALSE
"UGla"	0.003649	"Adelboden"	"increasing"	6	0.00159170585589849	FALSE
"AAlb"	0.101654	"Adelboden"	"increasing"	7	0.0511816117973379	TRUE
"AGlu"	0.074559	"Adelboden"	"increasing"	7	0.0375395930705896	TRUE
"AInc"	0.007425	"Adelboden"	"increasing"	7	0.00373840151489596	FALSE
"APla"	0.005096	"Adelboden"	"increasing"	7	0.00256577698584644	FALSE
"AVir"	0	"Adelboden"	"increasing"	7	0	FALSE
"BPen"	0.004422	"Adelboden"	"increasing"	7	0.00222642579109359	TRUE
"CAve"	4.7e-05	"Adelboden"	"increasing"	7	2.36639557171865e-05	FALSE
"LDec"	0.006994	"Adelboden"	"increasing"	7	0.00352139800608516	FALSE
"PAbi"	1.451554	"Adelboden"	"increasing"	7	0.730840629300106	TRUE
"PCem"	0.000112	"Adelboden"	"increasing"	7	5.6390702985636e-05	FALSE
"PMon"	7.7e-05	"Adelboden"	"increasing"	7	3.87686083026247e-05	FALSE
"PNig"	0.251016	"Adelboden"	"increasing"	7	0.126383649112879	TRUE
"PSyl"	0.000121	"Adelboden"	"increasing"	7	6.09220987612675e-05	FALSE
"PTre"	0.007448	"Adelboden"	"increasing"	7	0.00374998174854479	FALSE
"QPet"	0.052549	"Adelboden"	"increasing"	7	0.0264578129570731	TRUE
"QPub"	6.1e-05	"Adelboden"	"increasing"	7	3.0712793590391e-05	FALSE
"QRob"	0.000185	"Adelboden"	"increasing"	7	9.31453576102023e-05	FALSE
"SAlb"	0.016304	"Adelboden"	"increasing"	7	0.00820887519176615	TRUE
"SAri"	6.6e-05	"Adelboden"	"increasing"	7	3.32302356879641e-05	FALSE
"SAuc"	0.000373	"Adelboden"	"increasing"	7	0.000187801180478948	FALSE
"TBac"	0.001103	"Adelboden"	"increasing"	7	0.000555347726724611	FALSE
"TCor"	0.000132	"Adelboden"	"increasing"	7	6.64604713759281e-05	FALSE
"TPla"	0.000257	"Adelboden"	"increasing"	7	0.000129396523815254	FALSE
