"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.00934	"Basel"	"increasing"	1	0.00439560853293977	TRUE
"ACam"	0.007303	"Basel"	"increasing"	1	0.00343695172548813	FALSE
"AGlu"	0.003787	"Basel"	"increasing"	1	0.00178224513000459	FALSE
"AInc"	0.001928	"Basel"	"increasing"	1	0.000907359020504055	FALSE
"APla"	0.027124	"Basel"	"increasing"	1	0.0127651483776722	TRUE
"APse"	0.056516	"Basel"	"increasing"	1	0.026597667221373	TRUE
"AVir"	0	"Basel"	"increasing"	1	0	FALSE
"BPen"	0.005398	"Basel"	"increasing"	1	0.00254041700865191	FALSE
"CAve"	0.000228	"Basel"	"increasing"	1	0.000107301792881185	FALSE
"CBet"	0.086045	"Basel"	"increasing"	1	0.0404946612651823	TRUE
"CSat"	0.454046	"Basel"	"increasing"	1	0.213683990572502	TRUE
"FExc"	0.016341	"Basel"	"increasing"	1	0.00769043244505019	TRUE
"FSyl"	0.80175	"Basel"	"increasing"	1	0.377321107203903	TRUE
"LDec"	0.02974	"Basel"	"increasing"	1	0.0139962952644142	FALSE
"PAbi"	0.013666	"Basel"	"increasing"	1	0.00643151886629067	FALSE
"PCem"	0.000617	"Basel"	"increasing"	1	0.000290373711437242	FALSE
"PMon"	0.000201	"Basel"	"increasing"	1	9.45950016189393e-05	FALSE
"PNig"	0.004276	"Basel"	"increasing"	1	0.00201237923842082	FALSE
"PSyl"	0.001701	"Basel"	"increasing"	1	0.000800527849521472	FALSE
"PTre"	0.026161	"Basel"	"increasing"	1	0.0123119394893188	TRUE
"QPet"	0.244893	"Basel"	"increasing"	1	0.115252008614263	TRUE
"QPub"	0.002973	"Basel"	"increasing"	1	0.00139915890454282	FALSE
"QRob"	0.216421	"Basel"	"increasing"	1	0.101852461917276	TRUE
"SAlb"	0.004527	"Basel"	"increasing"	1	0.00213050533496984	FALSE
"SAri"	0.000377	"Basel"	"increasing"	1	0.000177424455772836	FALSE
"SAuc"	0.001236	"Basel"	"increasing"	1	0.000581688666671687	FALSE
"TBac"	0.000967	"Basel"	"increasing"	1	0.000455091375947832	FALSE
"TCor"	0.012672	"Basel"	"increasing"	1	0.00596372069908059	TRUE
"TPla"	0.016755	"Basel"	"increasing"	1	0.00788526991107128	TRUE
"UGla"	0.077859	"Basel"	"increasing"	1	0.0366421504032288	TRUE
"AAlb"	0.011738	"Basel"	"increasing"	2	0.00562535733575255	TRUE
"ACam"	0.008931	"Basel"	"increasing"	2	0.00428012151691992	FALSE
"AGlu"	0.003681	"Basel"	"increasing"	2	0.00176409442434019	FALSE
"AInc"	0.001485	"Basel"	"increasing"	2	0.000711676234758267	FALSE
"APla"	0.027525	"Basel"	"increasing"	2	0.0131911706139537	TRUE
"APse"	0.057568	"Basel"	"increasing"	2	0.0275890757458343	TRUE
"AVir"	0	"Basel"	"increasing"	2	0	FALSE
