"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.075981	"Bern"	"increasing"	1	0.0272345632813525	TRUE
"ACam"	0.003079	"Bern"	"increasing"	1	0.00110363407092937	FALSE
"AGlu"	0.07558	"Bern"	"increasing"	1	0.0270908291915692	TRUE
"AInc"	0.008826	"Bern"	"increasing"	1	0.00316358373173842	TRUE
"APla"	0.039795	"Bern"	"increasing"	1	0.0142640850447009	TRUE
"APse"	0.079933	"Bern"	"increasing"	1	0.0286511147098399	TRUE
"AVir"	0	"Bern"	"increasing"	1	0	FALSE
"BPen"	0.009963	"Bern"	"increasing"	1	0.00357112901872988	TRUE
"CAve"	3.9e-05	"Bern"	"increasing"	1	1.39791259390209e-05	FALSE
"CBet"	0.103064	"Bern"	"increasing"	1	0.0369421701481859	TRUE
"CSat"	0.123138	"Bern"	"increasing"	1	0.0441374771763886	TRUE
"FExc"	0.093729	"Bern"	"increasing"	1	0.0335961409009869	TRUE
"FSyl"	0.998958	"Bern"	"increasing"	1	0.358065633071601	TRUE
"LDec"	0.023681	"Bern"	"increasing"	1	0.00848819695799882	FALSE
"PAbi"	0.6499	"Bern"	"increasing"	1	0.232949588404351	TRUE
"PCem"	9e-06	"Bern"	"increasing"	1	3.22595213977405e-06	FALSE
"PMon"	0	"Bern"	"increasing"	1	0	FALSE
"PNig"	0.179872	"Bern"	"increasing"	1	0.064473162587271	TRUE
"PSyl"	5.1e-05	"Bern"	"increasing"	1	1.82803954587196e-05	FALSE
"PTre"	0.011032	"Bern"	"increasing"	1	0.00395430044510971	TRUE
"QPet"	0.085789	"Bern"	"increasing"	1	0.0307501342354529	TRUE
"QPub"	0.000289	"Bern"	"increasing"	1	0.000103588907599411	FALSE
"QRob"	0.025497	"Bern"	"increasing"	1	0.00913912241197989	FALSE
"SAlb"	0.063594	"Bern"	"increasing"	1	0.0227945778196435	TRUE
"SAri"	0.000121	"Bern"	"increasing"	1	4.33711343236289e-05	FALSE
"SAuc"	0.000299	"Bern"	"increasing"	1	0.000107173298865827	FALSE
"TBac"	0.000853	"Bern"	"increasing"	1	0.000305748575025252	FALSE
"TCor"	0.00274	"Bern"	"increasing"	1	0.000982123206997879	FALSE
"TPla"	0.015136	"Bern"	"increasing"	1	0.00542533462084668	TRUE
"UGla"	0.118926	"Bern"	"increasing"	1	0.0426277315749744	TRUE
"AAlb"	0.084332	"Bern"	"increasing"	2	0.0308056923974976	TRUE
"ACam"	0.002964	"Bern"	"increasing"	2	0.00108272153235051	FALSE
"AGlu"	0.065442	"Bern"	"increasing"	2	0.023905351727423	TRUE
"AInc"	0.002294	"Bern"	"increasing"	2	0.000837976786508793	FALSE
"APla"	0.048099	"Bern"	"increasing"	2	0.017570115716777	TRUE
"APse"	0.099068	"Bern"	"increasing"	2	0.0361886156433536	TRUE
"AVir"	0	"Bern"	"increasing"	2	0	FALSE
"BPen"	0.003108	"Bern"	"increasing"	2	0.0011353233881732	FALSE
"CAve"	2.2e-05	"Bern"	"increasing"	2	8.03639463957866e-06	FALSE
"CSat"	0.157301	"Bern"	"increasing"	2	0.0574605869636528	TRUE
"FExc"	0.115425	"Bern"	"increasing"	2	0.0421636750578803	TRUE
"FSyl"	1.041716	"Bern"	"increasing"	2	0.380529130834697	TRUE
