"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	3.2e-05	"Bever"	"increasing"	1	1.82210970694782e-05	FALSE
"ACam"	0	"Bever"	"increasing"	1	0	FALSE
"AGlu"	-1e-06	"Bever"	"increasing"	1	-5.69409283421193e-07	FALSE
"AInc"	0.010182	"Bever"	"increasing"	1	0.00579772532379459	TRUE
"APla"	0	"Bever"	"increasing"	1	0	FALSE
"APse"	0	"Bever"	"increasing"	1	0	FALSE
"AVir"	0.00164	"Bever"	"increasing"	1	0.000933831224810757	TRUE
"BPen"	0.027007	"Bever"	"increasing"	1	0.0153780365173562	TRUE
"CAve"	0	"Bever"	"increasing"	1	0	FALSE
"CBet"	0	"Bever"	"increasing"	1	0	FALSE
"CSat"	0	"Bever"	"increasing"	1	0	FALSE
"FExc"	0	"Bever"	"increasing"	1	0	FALSE
"FSyl"	0	"Bever"	"increasing"	1	0	FALSE
"LDec"	0.087239	"Bever"	"increasing"	1	0.0496746964763815	TRUE
"PAbi"	0.658414	"Bever"	"increasing"	1	0.374907043934481	TRUE
"PCem"	0.833558	"Bever"	"increasing"	1	0.474635663470003	TRUE
"PMon"	0.01163	"Bever"	"increasing"	1	0.00662222996618848	TRUE
"PNig"	0.013252	"Bever"	"increasing"	1	0.00754581182389765	TRUE
"PSyl"	0.020989	"Bever"	"increasing"	1	0.0119513314497274	TRUE
"PTre"	0.081275	"Bever"	"increasing"	1	0.0462787395100575	TRUE
"QPet"	0	"Bever"	"increasing"	1	0	FALSE
"QPub"	0	"Bever"	"increasing"	1	0	FALSE
"QRob"	0	"Bever"	"increasing"	1	0	FALSE
"SAlb"	0	"Bever"	"increasing"	1	0	FALSE
"SAri"	0	"Bever"	"increasing"	1	0	FALSE
"SAuc"	0.010989	"Bever"	"increasing"	1	0.00625723861551549	TRUE
"TBac"	0	"Bever"	"increasing"	1	0	FALSE
"TCor"	0	"Bever"	"increasing"	1	0	FALSE
"TPla"	0	"Bever"	"increasing"	1	0	FALSE
"UGla"	0	"Bever"	"increasing"	1	0	FALSE
"AAlb"	0.000227	"Bever"	"increasing"	2	0.00013129644539456	FALSE
"ACam"	0	"Bever"	"increasing"	2	0	FALSE
"AGlu"	-1e-06	"Bever"	"increasing"	2	-5.78398437861499e-07	FALSE
"AInc"	0.010848	"Bever"	"increasing"	2	0.00627446625392154	TRUE
