"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.000486	"Cottbus"	"increasing"	1	0.000246019396047693	FALSE
"ACam"	0.030866	"Cottbus"	"increasing"	1	0.0156247627127739	TRUE
"AGlu"	0.001933	"Cottbus"	"increasing"	1	0.000978509243951011	FALSE
"AInc"	0.000211	"Cottbus"	"increasing"	1	0.000106810890053628	FALSE
"APla"	0.005251	"Cottbus"	"increasing"	1	0.00265812314536304	TRUE
"APse"	0.008793	"Cottbus"	"increasing"	1	0.0044511287025666	TRUE
"AVir"	-1e-06	"Cottbus"	"increasing"	1	-5.06212749069328e-07	FALSE
"BPen"	0.000183	"Cottbus"	"increasing"	1	9.2636933079687e-05	FALSE
"CAve"	0.001407	"Cottbus"	"increasing"	1	0.000712241337940544	FALSE
"CBet"	0.027755	"Cottbus"	"increasing"	1	0.0140499348504192	TRUE
"CSat"	0.668977	"Cottbus"	"increasing"	1	0.338644686234152	TRUE
"FExc"	0.003434	"Cottbus"	"increasing"	1	0.00173833458030407	FALSE
"FSyl"	0.041151	"Cottbus"	"increasing"	1	0.0208311608369519	TRUE
"LDec"	0.012074	"Cottbus"	"increasing"	1	0.00611201273226306	TRUE
"PAbi"	0.00238	"Cottbus"	"increasing"	1	0.001204786342785	FALSE
"PCem"	0.007777	"Cottbus"	"increasing"	1	0.00393681654951216	TRUE
"PMon"	0.023374	"Cottbus"	"increasing"	1	0.0118322167967465	TRUE
"PNig"	0.001947	"Cottbus"	"increasing"	1	0.000985596222437981	FALSE
"PSyl"	0.135459	"Cottbus"	"increasing"	1	0.0685710727761821	TRUE
"PTre"	0.038758	"Cottbus"	"increasing"	1	0.019619793728429	TRUE
"QPet"	0.051151	"Cottbus"	"increasing"	1	0.0258932883276452	TRUE
"QPub"	0.061849	"Cottbus"	"increasing"	1	0.0313087523171889	TRUE
"QRob"	0.759687	"Cottbus"	"increasing"	1	0.38456324470223	TRUE
"SAlb"	0.001849	"Cottbus"	"increasing"	1	0.000935987373029187	FALSE
"SAri"	0.003976	"Cottbus"	"increasing"	1	0.00201270189029965	TRUE
"SAuc"	0.011159	"Cottbus"	"increasing"	1	0.00564882806686463	TRUE
"TBac"	0.001224	"Cottbus"	"increasing"	1	0.000619604404860857	FALSE
"TCor"	0.062213	"Cottbus"	"increasing"	1	0.0314930137578501	TRUE
"TPla"	0.003697	"Cottbus"	"increasing"	1	0.0018714685333093	TRUE
"UGla"	0.006434	"Cottbus"	"increasing"	1	0.00325697282751206	TRUE
"AAlb"	0.000773	"Cottbus"	"increasing"	2	0.000396605304865316	FALSE
"ACam"	0.031371	"Cottbus"	"increasing"	2	0.0160956080451874	TRUE
"AGlu"	0.002164	"Cottbus"	"increasing"	2	0.00111028962448712	FALSE
"AInc"	0.000212	"Cottbus"	"increasing"	2	0.0001087714419553	FALSE
"APla"	0.005991	"Cottbus"	"increasing"	2	0.00307381938091605	TRUE
"APse"	0.008559	"Cottbus"	"increasing"	2	0.00439139043252553	TRUE
"AVir"	6e-06	"Cottbus"	"increasing"	2	3.07843703647076e-06	FALSE
"BPen"	0.000176	"Cottbus"	"increasing"	2	9.03008197364755e-05	FALSE
"CAve"	0.001316	"Cottbus"	"increasing"	2	0.000675203856665919	FALSE
"CSat"	0.705472	"Cottbus"	"increasing"	2	0.361958522165516	TRUE
"FExc"	0.003284	"Cottbus"	"increasing"	2	0.00168493120462833	FALSE
"FSyl"	0.045205	"Cottbus"	"increasing"	2	0.0231934577056101	TRUE
"LDec"	0.010842	"Cottbus"	"increasing"	2	0.00556273572490266	TRUE
"PAbi"	0.002541	"Cottbus"	"increasing"	2	0.00130371808494537	FALSE
"PCem"	0.00591	"Cottbus"	"increasing"	2	0.0030322604809237	TRUE
"PMon"	0.02364	"Cottbus"	"increasing"	2	0.0121290419236948	TRUE
"PNig"	0.00209	"Cottbus"	"increasing"	2	0.00107232223437065	FALSE
"PSyl"	0.144442	"Cottbus"	"increasing"	2	0.0741092670703182	TRUE
"PTre"	0.042677	"Cottbus"	"increasing"	2	0.0218964095675771	TRUE
"QPet"	0.047394	"Cottbus"	"increasing"	2	0.0243165741510825	TRUE
"QPub"	0.063861	"Cottbus"	"increasing"	2	0.0327653445976765	TRUE
"QRob"	0.702527	"Cottbus"	"increasing"	2	0.360447522653449	TRUE
"SAlb"	0.001804	"Cottbus"	"increasing"	2	0.000925583402298874	FALSE
"SAri"	0.004339	"Cottbus"	"increasing"	2	0.00222622305020777	TRUE
"SAuc"	0.01323	"Cottbus"	"increasing"	2	0.00678795366541802	TRUE
"TBac"	0.001343	"Cottbus"	"increasing"	2	0.000689056823330038	FALSE
"TCor"	0.067419	"Cottbus"	"increasing"	2	0.0345908577603037	TRUE
"TPla"	0.003706	"Cottbus"	"increasing"	2	0.0019014479428601	TRUE
"UGla"	0.006747	"Cottbus"	"increasing"	2	0.00346170244751137	TRUE
"AAlb"	0.00084	"Cottbus"	"increasing"	3	0.000427993201022292	FALSE
"ACam"	0.030868	"Cottbus"	"increasing"	3	0.0157277311061382	TRUE
"AGlu"	0.002227	"Cottbus"	"increasing"	3	0.00113469149842458	FALSE
"AInc"	0.000308	"Cottbus"	"increasing"	3	0.000156930840374841	FALSE
"APla"	0.005145	"Cottbus"	"increasing"	3	0.00262145835626154	TRUE
"APse"	0.008651	"Cottbus"	"increasing"	3	0.00440782045481411	TRUE
"AVir"	-1e-06	"Cottbus"	"increasing"	3	-5.09515715502729e-07	FALSE
"BPen"	0.00028	"Cottbus"	"increasing"	3	0.000142664400340764	FALSE
"CAve"	0.001467	"Cottbus"	"increasing"	3	0.000747459554642503	FALSE
"CSat"	0.621176	"Cottbus"	"increasing"	3	0.316498934093123	TRUE
"FSyl"	0.038848	"Cottbus"	"increasing"	3	0.01979366651585	TRUE
"LDec"	0.009526	"Cottbus"	"increasing"	3	0.004853646705879	TRUE
"PAbi"	0.003	"Cottbus"	"increasing"	3	0.00152854714650819	FALSE
"PCem"	0.006843	"Cottbus"	"increasing"	3	0.00348661604118517	TRUE
"PMon"	0.018669	"Cottbus"	"increasing"	3	0.00951214889272045	TRUE
"PNig"	0.001837	"Cottbus"	"increasing"	3	0.000935980369378513	FALSE
"PSyl"	0.123718	"Cottbus"	"increasing"	3	0.0630362652905666	TRUE
"PTre"	0.0407	"Cottbus"	"increasing"	3	0.0207372896209611	TRUE
"QPet"	0.052858	"Cottbus"	"increasing"	3	0.0269319816900432	TRUE
"QPub"	0.06609	"Cottbus"	"increasing"	3	0.0336738936375754	TRUE
"QRob"	0.842626	"Cottbus"	"increasing"	3	0.429331189291203	TRUE
"SAlb"	0.001922	"Cottbus"	"increasing"	3	0.000979289205196245	FALSE
"SAri"	0.004565	"Cottbus"	"increasing"	3	0.00232593924126996	TRUE
"SAuc"	0.011835	"Cottbus"	"increasing"	3	0.0060301184929748	TRUE
"TBac"	0.001072	"Cottbus"	"increasing"	3	0.000546200847018926	FALSE
