"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.001239	"Davos"	"increasing"	1	0.000803751097940866	FALSE
"ACam"	0	"Davos"	"increasing"	1	0	FALSE
"AGlu"	0.000104	"Davos"	"increasing"	1	6.74657903033496e-05	FALSE
"AInc"	0.005126	"Davos"	"increasing"	1	0.00332528501052856	FALSE
"APla"	0	"Davos"	"increasing"	1	0	FALSE
"APse"	0.000174	"Davos"	"increasing"	1	0.000112875456853681	FALSE
"AVir"	4.8e-05	"Davos"	"increasing"	1	3.11380570630844e-05	FALSE
"BPen"	0.001637	"Davos"	"increasing"	1	0.00106193748775561	FALSE
"CAve"	0	"Davos"	"increasing"	1	0	FALSE
"CBet"	0.000174	"Davos"	"increasing"	1	0.000112875456853681	FALSE
"CSat"	0	"Davos"	"increasing"	1	0	FALSE
"FExc"	0	"Davos"	"increasing"	1	0	FALSE
"FSyl"	3.7e-05	"Davos"	"increasing"	1	2.40022523194609e-05	FALSE
"LDec"	0.002266	"Davos"	"increasing"	1	0.00146997577718644	TRUE
"PAbi"	1.488825	"Davos"	"increasing"	1	0.965814954311388	TRUE
"PCem"	0.009563	"Davos"	"increasing"	1	0.00620360916029742	TRUE
"PMon"	0.000433	"Davos"	"increasing"	1	0.000280891223089907	FALSE
"PNig"	0.02634	"Davos"	"increasing"	1	0.0170870088133676	TRUE
"PSyl"	0.000158	"Davos"	"increasing"	1	0.00010249610449932	FALSE
"PTre"	0.004756	"Davos"	"increasing"	1	0.00308526248733395	FALSE
"QPet"	0	"Davos"	"increasing"	1	0	FALSE
"QPub"	0	"Davos"	"increasing"	1	0	FALSE
"QRob"	0	"Davos"	"increasing"	1	0	FALSE
"SAlb"	0	"Davos"	"increasing"	1	0	FALSE
"SAri"	0	"Davos"	"increasing"	1	0	FALSE
"SAuc"	0.000642	"Davos"	"increasing"	1	0.000416471513218754	FALSE
"TBac"	0	"Davos"	"increasing"	1	0	FALSE
"TCor"	0	"Davos"	"increasing"	1	0	FALSE
"TPla"	0	"Davos"	"increasing"	1	0	FALSE
"UGla"	0	"Davos"	"increasing"	1	0	FALSE
"AAlb"	0.0018	"Davos"	"increasing"	2	0.00116084246206947	FALSE
"ACam"	0	"Davos"	"increasing"	2	0	FALSE
"AGlu"	0.000146	"Davos"	"increasing"	2	9.41572219234128e-05	FALSE
"AInc"	0.004651	"Davos"	"increasing"	2	0.00299948793949173	FALSE
"APla"	0	"Davos"	"increasing"	2	0	FALSE
"APse"	0.000175	"Davos"	"increasing"	2	0.00011285968381231	FALSE
"AVir"	0.000104	"Davos"	"increasing"	2	6.70708978084584e-05	FALSE
"BPen"	0.002617	"Davos"	"increasing"	2	0.00168773595735323	FALSE
"CAve"	0	"Davos"	"increasing"	2	0	FALSE
"CSat"	0	"Davos"	"increasing"	2	0	FALSE
"FExc"	0	"Davos"	"increasing"	2	0	FALSE
"FSyl"	3.9e-05	"Davos"	"increasing"	2	2.51515866781719e-05	FALSE
"LDec"	0.01598	"Davos"	"increasing"	2	0.0103057014132612	TRUE
"PAbi"	1.467659	"Davos"	"increasing"	2	0.946511603910233	TRUE
"PCem"	0.025245	"Davos"	"increasing"	2	0.0162808155305244	TRUE
"PMon"	0.000589	"Davos"	"increasing"	2	0.000379853450088289	FALSE
"PNig"	0.025683	"Davos"	"increasing"	2	0.0165632871962946	TRUE
"PSyl"	0.000308	"Davos"	"increasing"	2	0.000198633043509665	FALSE
"PTre"	0.005023	"Davos"	"increasing"	2	0.00323939538165276	FALSE
"QPet"	0	"Davos"	"increasing"	2	0	FALSE
"QPub"	0	"Davos"	"increasing"	2	0	FALSE
"QRob"	0	"Davos"	"increasing"	2	0	FALSE
"SAlb"	0	"Davos"	"increasing"	2	0	FALSE
"SAri"	1e-06	"Davos"	"increasing"	2	6.44912478927485e-07	FALSE
"SAuc"	0.000578	"Davos"	"increasing"	2	0.000372759412820086	FALSE
"TBac"	0	"Davos"	"increasing"	2	0	FALSE
"TCor"	0	"Davos"	"increasing"	2	0	FALSE
"TPla"	0	"Davos"	"increasing"	2	0	FALSE
"UGla"	0	"Davos"	"increasing"	2	0	FALSE
"AAlb"	0.001445	"Davos"	"increasing"	3	0.000952171346034223	FALSE
"ACam"	0	"Davos"	"increasing"	3	0	FALSE
"AGlu"	0.000133	"Davos"	"increasing"	3	8.76393003616274e-05	FALSE
"AInc"	0.00313	"Davos"	"increasing"	3	0.00206248879798416	FALSE
"APla"	0	"Davos"	"increasing"	3	0	FALSE
"APse"	0.000165	"Davos"	"increasing"	3	0.000108725447817057	FALSE
"AVir"	8.2e-05	"Davos"	"increasing"	3	5.40332528545372e-05	FALSE
"BPen"	0.001118	"Davos"	"increasing"	3	0.000736697276724056	FALSE
"CAve"	0	"Davos"	"increasing"	3	0	FALSE
"CSat"	0	"Davos"	"increasing"	3	0	FALSE
"FSyl"	4e-05	"Davos"	"increasing"	3	2.63576843192864e-05	FALSE
"LDec"	0.010957	"Davos"	"increasing"	3	0.00722002867716054	FALSE
"PAbi"	1.454312	"Davos"	"increasing"	3	0.958307414943753	TRUE
"PCem"	0.014944	"Davos"	"increasing"	3	0.00984723086168542	TRUE
"PMon"	3.9e-05	"Davos"	"increasing"	3	2.56987422113043e-05	FALSE
"PNig"	0.02705	"Davos"	"increasing"	3	0.0178243840209175	TRUE
