"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	4.2e-05	"GrandeDixence"	"increasing"	1	3.43458264914266e-05	FALSE
"ACam"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"AGlu"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"AInc"	0.000121	"GrandeDixence"	"increasing"	1	9.89486906062529e-05	FALSE
"APla"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"APse"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"AVir"	0.000699	"GrandeDixence"	"increasing"	1	0.000571612683750172	FALSE
"BPen"	1e-06	"GrandeDixence"	"increasing"	1	8.17757773605396e-07	FALSE
"CAve"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"CBet"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"CSat"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"FExc"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"FSyl"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"LDec"	0.075631	"GrandeDixence"	"increasing"	1	0.0618478381755497	TRUE
"PAbi"	0.345407	"GrandeDixence"	"increasing"	1	0.282459259307719	TRUE
"PCem"	0.799481	"GrandeDixence"	"increasing"	1	0.653781802599816	TRUE
"PMon"	0.001074	"GrandeDixence"	"increasing"	1	0.000878271848852195	TRUE
"PNig"	-1e-06	"GrandeDixence"	"increasing"	1	-8.17757773605396e-07	FALSE
"PSyl"	2e-06	"GrandeDixence"	"increasing"	1	1.63551554721079e-06	FALSE
"PTre"	7e-05	"GrandeDixence"	"increasing"	1	5.72430441523777e-05	FALSE
"QPet"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"QPub"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"QRob"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"SAlb"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"SAri"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"SAuc"	0.000329	"GrandeDixence"	"increasing"	1	0.000269042307516175	FALSE
"TBac"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"TCor"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"TPla"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"UGla"	0	"GrandeDixence"	"increasing"	1	0	FALSE
"AAlb"	0.000139	"GrandeDixence"	"increasing"	2	0.000113523508350103	FALSE
