"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.056998	"Huttwil"	"increasing"	1	0.01886032644069	TRUE
"ACam"	0.002933	"Huttwil"	"increasing"	1	0.000970513657506293	FALSE
"AGlu"	0.0941	"Huttwil"	"increasing"	1	0.0311371753056059	TRUE
"AInc"	0.00416	"Huttwil"	"increasing"	1	0.00137652124624145	FALSE
"APla"	0.04666	"Huttwil"	"increasing"	1	0.0154395387859678	TRUE
"APse"	0.102145	"Huttwil"	"increasing"	1	0.0337992218022435	TRUE
"AVir"	0	"Huttwil"	"increasing"	1	0	FALSE
"BPen"	0.004208	"Huttwil"	"increasing"	1	0.00139240418369808	FALSE
"CAve"	2.1e-05	"Huttwil"	"increasing"	1	6.94878513727656e-06	FALSE
"CBet"	0.10625	"Huttwil"	"increasing"	1	0.0351575438493159	TRUE
"CSat"	0.129085	"Huttwil"	"increasing"	1	0.0427135204497783	TRUE
"FExc"	0.115895	"Huttwil"	"increasing"	1	0.0383490215945079	TRUE
"FSyl"	1.179489	"Huttwil"	"increasing"	1	0.390286458703866	TRUE
"LDec"	0.002957	"Huttwil"	"increasing"	1	0.000978455126234609	TRUE
"PAbi"	0.65882	"Huttwil"	"increasing"	1	0.217999934482883	TRUE
"PCem"	0	"Huttwil"	"increasing"	1	0	FALSE
"PMon"	0	"Huttwil"	"increasing"	1	0	FALSE
"PNig"	0.225332	"Huttwil"	"increasing"	1	0.0745611263120382	TRUE
"PSyl"	8.9e-05	"Huttwil"	"increasing"	1	2.94496132008388e-05	FALSE
"PTre"	0.006418	"Huttwil"	"increasing"	1	0.00212368109576386	FALSE
"QPet"	0.060349	"Huttwil"	"increasing"	1	0.0199691540118811	TRUE
"QPub"	0.000119	"Huttwil"	"increasing"	1	3.93764491112338e-05	FALSE
"QRob"	0.005672	"Huttwil"	"increasing"	1	0.00187683377612536	TRUE
"SAlb"	0.076987	"Huttwil"	"increasing"	1	0.0254745772077862	TRUE
"SAri"	6.8e-05	"Huttwil"	"increasing"	1	2.25008280635622e-05	FALSE
"SAuc"	0.000166	"Huttwil"	"increasing"	1	5.49284920375195e-05	FALSE
"TBac"	0.00089	"Huttwil"	"increasing"	1	0.000294496132008388	FALSE
"TCor"	0.003125	"Huttwil"	"increasing"	1	0.00103404540733282	FALSE
"TPla"	0.021548	"Huttwil"	"increasing"	1	0.00713011533990644	TRUE
"UGla"	0.117627	"Huttwil"	"increasing"	1	0.0389221309210681	TRUE
"AAlb"	0.055658	"Huttwil"	"increasing"	2	0.0186936542066935	TRUE
"ACam"	0.002922	"Huttwil"	"increasing"	2	0.000981401731861701	FALSE
"AGlu"	0.092206	"Huttwil"	"increasing"	2	0.030968900783039	TRUE
"AInc"	0.003445	"Huttwil"	"increasing"	2	0.0011570598789403	FALSE
"APla"	0.042316	"Huttwil"	"increasing"	2	0.0142125241907802	TRUE
"APse"	0.085925	"Huttwil"	"increasing"	2	0.0288593236859058	TRUE
"AVir"	0	"Huttwil"	"increasing"	2	0	FALSE
"BPen"	0.001915	"Huttwil"	"increasing"	2	0.000643184228786844	FALSE
"CAve"	3.5e-05	"Huttwil"	"increasing"	2	1.17553253303078e-05	FALSE
"CSat"	0.132869	"Huttwil"	"increasing"	2	0.0446262377517907	TRUE
"FExc"	0.113038	"Huttwil"	"increasing"	2	0.0379656704196382	TRUE
"FSyl"	1.21364	"Huttwil"	"increasing"	2	0.407620943824995	TRUE
"LDec"	0.001743	"Huttwil"	"increasing"	2	0.000585415201449331	FALSE
"PAbi"	0.704237	"Huttwil"	"increasing"	2	0.236529572704	TRUE
"PCem"	2.6e-05	"Huttwil"	"increasing"	2	8.73252738822869e-06	FALSE
"PMon"	0	"Huttwil"	"increasing"	2	0	FALSE
"PNig"	0.244471	"Huttwil"	"increasing"	2	0.0821096039664483	TRUE
"PSyl"	0	"Huttwil"	"increasing"	2	0	FALSE
"PTre"	0.0074	"Huttwil"	"increasing"	2	0.00248541164126509	FALSE
"QPet"	0.053053	"Huttwil"	"increasing"	2	0.0178187221356806	TRUE
"QPub"	0	"Huttwil"	"increasing"	2	0	FALSE
"QRob"	0.004596	"Huttwil"	"increasing"	2	0.00154364214908842	FALSE
"SAlb"	0.078838	"Huttwil"	"increasing"	2	0.0264790382397374	TRUE
"SAri"	4.3e-05	"Huttwil"	"increasing"	2	1.44422568343782e-05	FALSE
"SAuc"	0.000103	"Huttwil"	"increasing"	2	3.45942431149059e-05	FALSE
"TBac"	0.000997	"Huttwil"	"increasing"	2	0.000334858838694769	FALSE
"TCor"	0.002901	"Huttwil"	"increasing"	2	0.000974348536663516	FALSE
"TPla"	0.0159	"Huttwil"	"increasing"	2	0.00534027636433985	TRUE
"UGla"	0.119097	"Huttwil"	"increasing"	2	0.0400006851675335	TRUE
"AAlb"	0.057021	"Huttwil"	"increasing"	3	0.0204791358545238	TRUE
"ACam"	0.003629	"Huttwil"	"increasing"	3	0.00130335813149659	FALSE
"AGlu"	0.090628	"Huttwil"	"increasing"	3	0.0325491156630677	TRUE
"AInc"	0.007082	"Huttwil"	"increasing"	3	0.00254350572809557	FALSE
"APla"	0.03718	"Huttwil"	"increasing"	3	0.0133532254971185	TRUE
"APse"	0.077506	"Huttwil"	"increasing"	3	0.0278363393055317	TRUE
"AVir"	0	"Huttwil"	"increasing"	3	0	FALSE
"BPen"	0.005672	"Huttwil"	"increasing"	3	0.00203710314738183	FALSE
"CAve"	7.2e-05	"Huttwil"	"increasing"	3	2.58588551853829e-05	FALSE
"CSat"	0.126218	"Huttwil"	"increasing"	3	0.0453312914415091	TRUE
"FSyl"	1.098082	"Huttwil"	"increasing"	3	0.394376991939938	TRUE
"LDec"	0.003698	"Huttwil"	"increasing"	3	0.00132813953438258	FALSE
"PAbi"	0.722894	"Huttwil"	"increasing"	3	0.259627934171974	TRUE
"PCem"	5.8e-05	"Huttwil"	"increasing"	3	2.08307444548917e-05	FALSE
"PMon"	5.1e-05	"Huttwil"	"increasing"	3	1.83166890896462e-05	FALSE
"PNig"	0.217629	"Huttwil"	"increasing"	3	0.0781616221547178	TRUE
"PSyl"	0.000145	"Huttwil"	"increasing"	3	5.20768611372293e-05	FALSE
"PTre"	0.008767	"Huttwil"	"increasing"	3	0.00314867476958683	FALSE
"QPet"	0.075525	"Huttwil"	"increasing"	3	0.0271248616371672	TRUE
"QPub"	0.000335	"Huttwil"	"increasing"	3	0.000120315506765323	FALSE
"QRob"	0.044313	"Huttwil"	"increasing"	3	0.0159150479143038	TRUE
"SAlb"	0.077268	"Huttwil"	"increasing"	3	0.0277508614231134	TRUE
"SAri"	0.000114	"Huttwil"	"increasing"	3	4.09431873768562e-05	FALSE
