"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.030028	"Schaffhausen"	"increasing"	1	0.0132239877889059	TRUE
"ACam"	0.006802	"Schaffhausen"	"increasing"	1	0.00299552300986206	FALSE
"AGlu"	0.003868	"Schaffhausen"	"increasing"	1	0.00170342296414973	FALSE
"AInc"	0.001688	"Schaffhausen"	"increasing"	1	0.000743375895420047	FALSE
"APla"	0.030902	"Schaffhausen"	"increasing"	1	0.0136088873935251	TRUE
"APse"	0.064243	"Schaffhausen"	"increasing"	1	0.0282918824937619	TRUE
"AVir"	0	"Schaffhausen"	"increasing"	1	0	FALSE
"BPen"	0.006709	"Schaffhausen"	"increasing"	1	0.00295456687344378	FALSE
"CAve"	0.00014	"Schaffhausen"	"increasing"	1	6.16543989092456e-05	FALSE
"CBet"	0.102586	"Schaffhausen"	"increasing"	1	0.0451777011893134	TRUE
"CSat"	0.413975	"Schaffhausen"	"increasing"	1	0.182309855631821	TRUE
"FExc"	0.030514	"Schaffhausen"	"increasing"	1	0.0134380166308337	TRUE
"FSyl"	0.876842	"Schaffhausen"	"increasing"	1	0.386151188917005	TRUE
"LDec"	0.034845	"Schaffhausen"	"increasing"	1	0.0153453394999476	TRUE
"PAbi"	0.087048	"Schaffhausen"	"increasing"	1	0.0383349436875144	TRUE
"PCem"	5.7e-05	"Schaffhausen"	"increasing"	1	2.51021481273357e-05	FALSE
"PMon"	0.000174	"Schaffhausen"	"increasing"	1	7.66276100729195e-05	FALSE
"PNig"	0.006039	"Schaffhausen"	"increasing"	1	0.00265950653580667	FALSE
"PSyl"	0.000599	"Schaffhausen"	"increasing"	1	0.000263792749618844	FALSE
"PTre"	0.025346	"Schaffhausen"	"increasing"	1	0.0111620885339553	TRUE
"QPet"	0.269056	"Schaffhausen"	"increasing"	1	0.118489185378043	TRUE
"QPub"	0.001474	"Schaffhausen"	"increasing"	1	0.000649132742801629	FALSE
"QRob"	0.160233	"Schaffhausen"	"increasing"	1	0.0705647807173225	TRUE
"SAlb"	0.005015	"Schaffhausen"	"increasing"	1	0.00220854864664191	FALSE
"SAri"	0.000276	"Schaffhausen"	"increasing"	1	0.000121547243563941	FALSE
"SAuc"	0.001273	"Schaffhausen"	"increasing"	1	0.000560614641510498	FALSE
"TBac"	0.000852	"Schaffhausen"	"increasing"	1	0.000375211056219123	FALSE
"TCor"	0.009674	"Schaffhausen"	"increasing"	1	0.00426031896462887	TRUE
"TPla"	0.015773	"Schaffhausen"	"increasing"	1	0.00694624881425379	TRUE
"UGla"	0.084691	"Schaffhausen"	"increasing"	1	0.0372969478430209	TRUE
"AAlb"	0.031084	"Schaffhausen"	"increasing"	2	0.0139526407405978	TRUE
"ACam"	0.008108	"Schaffhausen"	"increasing"	2	0.0036394290028557	TRUE
"AGlu"	0.004528	"Schaffhausen"	"increasing"	2	0.00203247835778621	FALSE
"AInc"	0.000777	"Schaffhausen"	"increasing"	2	0.000348771131625417	FALSE
"APla"	0.030874	"Schaffhausen"	"increasing"	2	0.0138583782725909	TRUE
"APse"	0.06242	"Schaffhausen"	"increasing"	2	0.0280183964428038	TRUE
"AVir"	0	"Schaffhausen"	"increasing"	2	0	FALSE
"BPen"	0.010463	"Schaffhausen"	"increasing"	2	0.00469651525121845	FALSE
"CAve"	0.000138	"Schaffhausen"	"increasing"	2	6.19439075473714e-05	FALSE
"CSat"	0.414774	"Schaffhausen"	"increasing"	2	0.186179147167054	TRUE
"FExc"	0.033472	"Schaffhausen"	"increasing"	2	0.0150245396625045	TRUE
"FSyl"	0.925772	"Schaffhausen"	"increasing"	2	0.415550254912646	TRUE
"LDec"	0.03868	"Schaffhausen"	"increasing"	2	0.0173622488690748	TRUE
"PAbi"	0.085421	"Schaffhausen"	"increasing"	2	0.0383428299029276	TRUE
"PCem"	2.6e-05	"Schaffhausen"	"increasing"	2	1.1670591277041e-05	FALSE
"PMon"	0.000168	"Schaffhausen"	"increasing"	2	7.54099744054956e-05	FALSE
"PNig"	0.007438	"Schaffhausen"	"increasing"	2	0.00333868684302426	FALSE
"PSyl"	0.000677	"Schaffhausen"	"increasing"	2	0.000303884242098336	FALSE
"PTre"	0.029888	"Schaffhausen"	"increasing"	2	0.0134157935418539	TRUE
"QPet"	0.266548	"Schaffhausen"	"increasing"	2	0.119645106296643	TRUE
"QPub"	0.001128	"Schaffhausen"	"increasing"	2	0.00050632411386547	FALSE
"QRob"	0.152796	"Schaffhausen"	"increasing"	2	0.0685853717217982	TRUE
"SAlb"	0.005713	"Schaffhausen"	"increasing"	2	0.00256438799868212	FALSE
"SAri"	0.000202	"Schaffhausen"	"increasing"	2	9.0671516844703e-05	FALSE
"SAuc"	0.000963	"Schaffhausen"	"increasing"	2	0.000432260746145787	FALSE
"TBac"	0.001164	"Schaffhausen"	"increasing"	2	0.00052248339409522	FALSE
"TCor"	0.011615	"Schaffhausen"	"increasing"	2	0.00521361221857042	TRUE
"TPla"	0.016224	"Schaffhausen"	"increasing"	2	0.00728244895687357	TRUE
"UGla"	0.086761	"Schaffhausen"	"increasing"	2	0.0389443142225905	TRUE
"AAlb"	0.031427	"Schaffhausen"	"increasing"	3	0.0138720051838492	TRUE
"ACam"	0.008217	"Schaffhausen"	"increasing"	3	0.00362701710617268	TRUE
"AGlu"	0.004141	"Schaffhausen"	"increasing"	3	0.00182785418481941	FALSE
"AInc"	0.001038	"Schaffhausen"	"increasing"	3	0.000458177407351496	FALSE
"APla"	0.031237	"Schaffhausen"	"increasing"	3	0.0137881384137174	TRUE
"APse"	0.063859	"Schaffhausen"	"increasing"	3	0.0281876214412902	TRUE
"AVir"	0	"Schaffhausen"	"increasing"	3	0	FALSE
"BPen"	0.011841	"Schaffhausen"	"increasing"	3	0.00522666539542299	FALSE
"CAve"	9.6e-05	"Schaffhausen"	"increasing"	3	4.23747891192135e-05	FALSE
"CSat"	0.365726	"Schaffhausen"	"increasing"	3	0.16143293880639	TRUE
"FSyl"	0.933654	"Schaffhausen"	"increasing"	3	0.412118660003231	TRUE
"LDec"	0.045992	"Schaffhausen"	"increasing"	3	0.0203010552205299	TRUE
"PAbi"	0.08249	"Schaffhausen"	"increasing"	3	0.0364114203587909	TRUE
"PCem"	0.000257	"Schaffhausen"	"increasing"	3	0.000113440841704561	FALSE
"PMon"	0.000205	"Schaffhausen"	"increasing"	3	9.04878309316539e-05	FALSE
"PNig"	0.006359	"Schaffhausen"	"increasing"	3	0.00280688837509457	FALSE
"PSyl"	0.000983	"Schaffhausen"	"increasing"	3	0.000433900184418613	FALSE
"PTre"	0.028096	"Schaffhausen"	"increasing"	3	0.0124016882822232	TRUE
"QPet"	0.31666	"Schaffhausen"	"increasing"	3	0.139775007525939	TRUE
"QPub"	0.002509	"Schaffhausen"	"increasing"	3	0.00110748276979278	FALSE
