"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.000355	"Sion"	"increasing"	1	0.000305819618113136	FALSE
"ACam"	0.020882	"Sion"	"increasing"	1	0.0179890852547564	TRUE
"AGlu"	0.00507	"Sion"	"increasing"	1	0.00436762102488338	FALSE
"AInc"	0.005461	"Sion"	"increasing"	1	0.00470445333666433	FALSE
"APla"	0.002381	"Sion"	"increasing"	1	0.0020511451006405	FALSE
"APse"	0.002604	"Sion"	"increasing"	1	0.00224325150863833	FALSE
"AVir"	0	"Sion"	"increasing"	1	0	FALSE
"BPen"	0.003747	"Sion"	"increasing"	1	0.00322790453259133	FALSE
"CAve"	0.00718	"Sion"	"increasing"	1	0.0061853094593023	TRUE
"CBet"	0.004334	"Sion"	"increasing"	1	0.00373358373211924	FALSE
"CSat"	0.083992	"Sion"	"increasing"	1	0.072356060181855	TRUE
"FExc"	0.004475	"Sion"	"increasing"	1	0.0038550501156515	FALSE
"FSyl"	0.001449	"Sion"	"increasing"	1	0.00124826092012939	FALSE
"LDec"	0.004937	"Sion"	"increasing"	1	0.00425304635105508	FALSE
"PAbi"	0.007437	"Sion"	"increasing"	1	0.00640670563354195	FALSE
"PCem"	0.000768	"Sion"	"increasing"	1	0.000661604131579968	FALSE
"PMon"	0.280178	"Sion"	"increasing"	1	0.241363180179443	TRUE
"PNig"	0.004736	"Sion"	"increasing"	1	0.00407989214474313	FALSE
"PSyl"	0.379415	"Sion"	"increasing"	1	0.326852254665903	TRUE
"PTre"	0.012743	"Sion"	"increasing"	1	0.0109776320946921	TRUE
"QPet"	0.006459	"Sion"	"increasing"	1	0.00556419412223309	FALSE
"QPub"	0.072884	"Sion"	"increasing"	1	0.0627869212579093	TRUE
"QRob"	0.179696	"Sion"	"increasing"	1	0.154801583370305	TRUE
"SAlb"	0.004511	"Sion"	"increasing"	1	0.00388606280931931	FALSE
"SAri"	0.011331	"Sion"	"increasing"	1	0.00976124533194351	TRUE
"SAuc"	0.018339	"Sion"	"increasing"	1	0.0157983830326107	TRUE
"TBac"	0.001483	"Sion"	"increasing"	1	0.00127755068637121	FALSE
"TCor"	0.028264	"Sion"	"increasing"	1	0.0243484103840836	TRUE
"TPla"	0.003088	"Sion"	"increasing"	1	0.00266019994572779	FALSE
"UGla"	0.002616	"Sion"	"increasing"	1	0.00225358907319426	FALSE
"AAlb"	0.000285	"Sion"	"increasing"	2	0.000245652383776255	FALSE
"ACam"	0.020961	"Sion"	"increasing"	2	0.018067086373102	TRUE
"AGlu"	0.004715	"Sion"	"increasing"	2	0.00406403855966681	FALSE
"AInc"	0.005736	"Sion"	"increasing"	2	0.00494407745031788	FALSE
"APla"	0.002213	"Sion"	"increasing"	2	0.0019074692115679	FALSE
"APse"	0.002514	"Sion"	"increasing"	2	0.00216691260636317	FALSE
"AVir"	0	"Sion"	"increasing"	2	0	FALSE
"BPen"	0.003823	"Sion"	"increasing"	2	0.00329518969535657	FALSE
"CAve"	0.007029	"Sion"	"increasing"	2	0.00605856352829226	TRUE
"CSat"	0.083685	"Sion"	"increasing"	2	0.0721312973204066	TRUE
"FExc"	0.004397	"Sion"	"increasing"	2	0.00378994221566383	FALSE
"FSyl"	0.001499	"Sion"	"increasing"	2	0.00129204534484423	FALSE
"LDec"	0.004976	"Sion"	"increasing"	2	0.00428900442691454	FALSE
