"site" "simul" "decreasing" "increasing" "random_1" "random_10" "random_11" "random_12" "random_13" "random_14" "random_15" "random_16" "random_17" "random_18" "random_19" "random_2" "random_20" "random_21" "random_22" "random_23" "random_24" "random_25" "random_26" "random_27" "random_28" "random_29" "random_3" "random_30" "random_4" "random_5" "random_6" "random_7" "random_8" "random_9" "int_min" "int_max" "mean"
"GrandeDixence" 1 1.219187 1.221593 1.206204 1.242807 1.195592 1.213787 1.216116 1.244204 1.200216 1.228484 1.207545 1.238249 1.247593 1.222789 1.216832 1.242193 1.250059 1.23753 1.19498 1.191374 1.229467 1.227839 1.199881 1.217487 1.189337 1.235416 1.222804 1.204035 1.217712 1.23075 1.215761 1.231987 1.213787 1.23075 1.2202505
"GrandeDixence" 2 1.220578 1.221726 1.224892 1.212636 1.213169 1.465341 1.22724 1.224293 1.185898 1.228737 1.206769 1.257718 1.073297 1.249485 1.225467 1.226435 1.196476 1.239413 1.181186 1.230615 1.231277 1.222861 1.210585 1.443066 1.240819 1.462265 1.229818 1.227559 1.166757 1.229736 1.240209 1.239396 1.222861 1.231277 1.2273995
"GrandeDixence" 3 1.23244 1.227675 1.214948 1.246191 1.244165 1.43873 1.219423 1.220705 1.218391 1.266006 1.228306 1.217987 1.026393 1.225472 1.220853 1.219233 1.217352 1.252288 1.225825 1.218197 1.221172 1.454522 1.437691 1.457203 1.206251 1.394313 1.221275 1.197378 1.199445 1.230709 1.243865 1.221722 1.219233 1.243865 1.2214985
"GrandeDixence" 4 1.231015 1.216474 1.240024 1.218107 1.241138 1.446294 1.24774 1.208015 1.208684 1.213384 1.210218 1.237496 1.037582 1.246748 1.195897 1.225663 1.237117 1.218002 1.210027 1.216822 1.250316 1.415948 1.462806 1.43978 1.244137 1.424085 1.237995 1.222331 1.242602 1.03856 1.235238 1.241737 1.218002 1.242602 1.2373065
"GrandeDixence" 5 1.256104 1.243883 1.233453 1.254534 1.231545 1.413025 1.45491 1.260125 1.233111 1.210614 1.224913 1.453286 0.70496 1.246991 1.217247 1.250671 1.208423 1.239145 1.193244 1.205433 1.235949 1.404254 1.433931 1.459107 1.215429 1.459344 1.223019 1.227105 1.263287 0.694779 1.209683 1.231812 1.223019 1.254534 1.233282
"GrandeDixence" 6 1.065903 1.243273 1.199316 1.425184 1.154136 1.433331 1.50248 1.228705 1.229485 1.243415 1.221849 1.316027 0.695347 1.228912 1.246675 1.189494 1.212697 1.210249 1.251013 1.104236 1.219831 1.434423 1.415347 1.469819 1.232895 1.449903 1.206592 1.425202 1.216615 0.693076 1.233728 1.204181 1.212697 1.251013 1.2291985
"GrandeDixence" 7 0.63985 1.223781 1.216237 1.444428 1.175716 1.42778 1.423564 1.242623 1.18967 1.224604 1.252146 1.311025 0.696914 1.217005 1.245971 1.200415 1.201863 1.229756 1.225882 1.08733 1.214751 1.41817 1.465574 1.414366 1.213063 1.463239 1.199758 1.40945 1.190765 0.701777 1.250739 1.044142 1.201863 1.252146 1.225243
"GrandeDixence" 8 0.643315 1.249451 1.225942 1.445912 1.319978 1.426135 1.449608 1.242466 1.230824 1.195832 1.232034 1.332505 0.699354 1.054054 1.462065 1.489228 1.217681 1.216502 1.256552 1.073197 1.237366 1.310688 1.471957 1.43774 1.397703 1.456887 1.207032 1.411927 1.221249 0.704812 1.223758 1.028638 1.221249 1.397703 1.239916
"GrandeDixence" 9 0.65558 1.241621 1.225132 1.452488 1.330502 1.458889 1.449092 1.251609 1.22453 1.192503 1.22826 1.356422 0.697702 1.077106 1.321747 1.515139 1.241014 1.231694 1.210413 1.099255 1.227523 1.355143 1.457053 1.46052 1.435475 1.437035 1.2252 1.43995 1.235514 0.702922 1.207491 1.045391 1.225132 1.356422 1.238264
"GrandeDixence" 10 0.02023 1.221881 1.188628 1.410237 1.34725 1.472375 1.449705 1.215401 1.208282 1.201306 1.236429 1.345816 0.692344 1.085277 1.31351 1.516113 1.24344 1.236163 1.213553 0.643862 1.205616 0.869784 1.414861 1.420945 1.449939 1.435433 1.219997 1.47984 1.221109 0.694533 1.22932 1.043615 1.208282 1.34725 1.2327415
"GrandeDixence" 11 0.017029 1.220703 1.202275 1.418214 1.330137 1.400996 1.442671 1.227164 1.205366 1.395668 1.236632 1.308555 0.696802 1.074153 1.291061 1.509848 1.230515 1.24263 1.227764 0.648493 1.233512 0.122278 1.423853 1.438355 1.460029 1.4735 1.174908 1.453498 1.18067 0.700467 1.250416 1.050145 1.205366 1.395668 1.239631
"GrandeDixence" 12 0.016819 1.232417 1.17732 1.444252 0.865628 1.431152 1.444059 1.213977 1.425152 1.383478 1.258107 1.346111 0.694311 1.049321 1.323731 1.459204 1.24556 1.242997 1.225766 0.64992 1.246155 0.019849 1.487914 1.433803 1.407093 0.869951 1.138921 1.473903 1.172003 0.687759 1.237428 1.467453 1.17732 1.407093 1.2458575
"GrandeDixence" 13 0.014667 1.218369 0.666159 1.496021 0.861044 1.455668 1.433094 1.06867 1.449509 1.347117 1.214561 1.319345 0.69521 1.040828 1.336482 1.486012 1.237654 1.254332 1.212601 0.643082 1.213268 0.019332 1.480143 1.469394 1.501225 0.85193 1.170115 1.457521 1.19635 0.656675 1.141353 1.43249 1.141353 1.43249 1.2261075
"GrandeDixence" 14 0.014694 1.236164 0.644524 1.425521 0.875559 1.465767 1.432628 1.061923 1.426714 1.333678 1.215495 1.350822 0.700351 1.062542 1.350301 0.122434 1.227609 1.217147 1.231717 0.652203 1.217764 0.019318 1.432621 1.471116 1.440731 0.864101 1.20022 1.441422 1.181766 0.655461 1.187225 1.462014 1.062542 1.350822 1.2174555
"GrandeDixence" 15 0.014737 1.238586 0.650104 1.399787 0.848672 1.457369 1.488972 1.070775 1.419555 1.322687 1.194976 1.333768 0.696391 1.086159 1.287083 0.120877 1.232292 1.215185 1.204836 0.654648 1.237787 0.01942 1.495165 1.456968 1.480475 0.859871 1.153993 1.461024 1.201318 0.659452 1.196398 1.486178 1.086159 1.333768 1.2100105
"GrandeDixence" 16 0.01487 1.193118 0.654156 1.453563 0.873681 1.529346 1.436968 1.083223 1.424094 1.352479 1.230904 1.324846 0.70127 1.085132 0.902363 0.120083 1.233016 1.203612 1.221316 0.642877 1.219841 0.02 1.451778 1.467311 1.438115 0.867149 1.196084 1.44769 1.186382 0.652867 1.341056 1.47417 1.083223 1.352479 1.2205785
"GrandeDixence" 17 0.014708 1.226161 0.642221 1.42531 0.859006 1.484122 1.473349 1.050955 1.484848 0.902002 1.206004 1.298184 0.705044 1.080022 0.89691 0.120542 1.14519 1.440094 1.254364 0.002497 1.213248 0.017444 1.45839 1.470208 1.49336 0.859684 1.191615 1.53103 0.691968 0.660459 1.319556 1.444019 0.89691 1.42531 1.1988095
"GrandeDixence" 18 0.015241 1.228457 0.646629 1.439549 0.859442 1.453677 1.434205 1.114293 1.473196 0.895057 1.214031 1.294116 0.692484 1.084533 0.010051 0.121182 1.187599 1.443883 1.455536 0.002452 1.239791 0.014991 1.440151 1.442851 1.291765 0.87525 1.163771 1.489492 0.696782 0.658549 1.330811 1.470996 0.87525 1.434205 1.200815
"GrandeDixence" 19 0.013103 1.228976 0.650375 1.475687 0.122916 1.450131 1.458469 1.104836 1.446384 0.888209 1.033592 1.344943 0.700788 1.557091 0.009774 0.124022 1.346722 1.402942 1.43442 0.002755 1.218322 0.015022 1.48752 1.492142 1.349806 0.869836 1.181847 1.524532 0.693727 0.657787 0.86922 1.480194 0.86922 1.43442 1.2000845
"GrandeDixence" 20 0.013057 1.224334 0.64427 1.496692 0.121021 1.465497 1.406961 1.099833 1.346141 0.902306 1.048146 1.321184 0.695307 1.528886 0.009296 0.121114 1.33014 1.399703 1.471402 0.002171 1.233978 0.01445 1.508374 1.451634 1.344751 0.864116 1.176861 1.510634 0.691086 0.663221 0.880554 1.547964 0.864116 1.399703 1.2054195
"GrandeDixence" 21 0.012835 1.229873 0.6384 1.479358 0.121941 1.30296 1.443722 1.037969 1.35427 0.891353 1.045941 1.364592 0.700135 1.531975 0.009962 0.121863 1.323699 1.461415 1.338709 0.002245 1.22322 0.015103 1.445737 1.489145 0.899757 0.120407 1.181711 1.555213 0.700451 0.665563 0.898191 1.522336 0.700451 1.35427 1.113826
"GrandeDixence" 22 0.012407 1.21249 0.646342 1.525216 0.121634 1.344228 1.297846 1.095222 1.346379 0.902034 1.036385 1.334066 0.698502 1.551047 0.00712 0.121645 1.412554 1.444715 1.320384 0.00222 1.235803 0.014906 1.488962 1.508248 0.895335 0.122438 1.190211 1.505073 0.690572 0.667083 0.894188 1.521391 0.698502 1.344228 1.1427165
"GrandeDixence" 23 0.012306 1.425136 0.648297 1.484825 0.121993 1.332544 1.356644 1.094476 1.318643 0.906004 1.060727 1.33247 0.70233 1.530667 0.007289 0.120477 0 1.411284 1.368086 0.00255 1.239283 0.001825 1.490176 1.581006 0.888231 0.121302 1.191216 1.511409 0.695043 0.108341 0.898206 1.53358 0.695043 1.332544 1.0776015
"GrandeDixence" 24 0.012466 1.463533 0.645775 1.549552 0.121891 1.331556 1.3263 1.111795 1.381069 0.005777 1.033238 1.299787 0.701947 1.523164 0.005409 0.122218 0 1.337282 1.366002 0.002383 1.074543 0 1.444963 1.536617 0.89377 0.120772 1.169883 0.018382 0.696708 0.10732 0 1.542119 0.121891 1.3263 0.963504
"GrandeDixence" 25 0 1.43082 0.648113 1.452687 0.118274 1.319911 0.017486 1.096293 1.33203 0.005717 1.059752 1.332207 0.700985 0 0.004876 0.122628 0 1.368155 1.307558 0.002341 1.051035 0 1.343529 1.547989 0.909611 0.122963 0.649229 0.004857 0.698011 0.110205 0 1.540915 0.110205 1.096293 0.67362
"GrandeDixence" 26 0 1.350743 0.648284 1.484001 0.109405 1.075461 0.0146 1.0943 0.875761 0.005663 1.046108 1.32315 0.645343 0 0.004614 0.123688 0 1.304023 1.309031 0.002423 0.660588 0 0.015161 1.529941 0.892014 0.122617 0.645865 0.004751 0.652066 0.108631 0 1.492488 0.015161 0.892014 0.645604
"GrandeDixence" 27 0 0.848451 0.641417 1.520675 0.107279 1.341289 0.014576 1.081242 0.893743 0.005983 1.076886 0.012535 0.014765 0 0.005003 0.012296 0 1.323991 0.012373 0.002654 0.657849 0 0.015093 0.013203 0.909266 0.120578 0.640586 0.002433 0.647128 0 0 1.585025 0.012296 0.647128 0.014929
"GrandeDixence" 28 0 0.869954 0.64647 1.553083 0.109204 1.338585 0.012681 0.65242 0.890174 0.002606 1.496281 0 0.001703 0 0.002737 0.011974 0 1.310291 0.012988 0 0.663497 0 0.001853 0.012324 0.8919 0.012976 0.65076 0.002108 0.646511 0 0 0 0.001853 0.646511 0.0125025
"GrandeDixence" 29 0 0.885679 0.647723 1.578761 0.109599 1.371773 0.012651 0.649308 0.003988 0.002682 0.122703 0 0.001749 0 0.002365 0 0 0.107814 0.012889 0 0.109599 0 0.002046 0.012535 0 0 0 0.002435 0 0 0 0 0 0.012651 0.0022055
"GrandeDixence" 30 0 0.107268 0 0 0 0.002518 0.012564 0 0.001853 0 0.012564 0 0 0 0.002759 0 0 0.107268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bever" 1 1.709064 1.756175 1.724055 1.723377 1.749631 1.733856 1.681692 1.698498 1.716759 1.714512 1.663568 1.70479 1.731328 1.708577 1.680577 1.712972 1.727037 1.722067 1.739452 1.708742 1.742732 1.715517 1.711421 1.695373 1.711231 1.689801 1.715641 1.74254 1.692897 1.664591 1.723572 1.726864 1.708577 1.723572 1.7150145
"Bever" 2 1.747713 1.728686 1.709767 1.714061 1.726874 1.496097 1.727854 1.7315 1.719964 1.682692 1.73292 1.712321 1.651249 1.697631 1.742352 1.715516 1.723461 1.717277 1.639542 1.724167 1.757262 1.726571 1.70596 1.59129 1.764436 1.561555 1.707264 1.712254 1.689514 1.683991 1.709548 1.722087 1.70596 1.723461 1.713191
"Bever" 3 1.748469 1.726325 1.685651 1.717511 1.745869 1.591006 1.707864 1.68269 1.724091 1.648998 1.71965 1.708251 1.639044 1.709375 1.73168 1.676866 1.718343 1.700418 1.738455 1.727742 1.700604 1.64214 1.629948 1.639727 1.697134 1.543027 1.696135 1.730616 1.695541 1.712097 1.706987 1.690993 1.685651 1.712097 1.700511
"Bever" 4 1.759048 1.7289 1.709676 1.767112 1.712823 1.703348 1.701598 1.726808 1.702232 1.726316 1.697405 1.693766 1.665195 1.692274 1.718142 1.719195 1.701581 1.712788 1.694392 1.679388 1.682552 1.592619 1.615549 1.585946 1.693098 1.608973 1.692167 1.745146 1.718996 1.657056 1.743896 1.73422 1.692274 1.712823 1.7015895
"Bever" 5 1.720259 1.755024 1.736827 1.742334 1.717091 1.578683 1.559382 1.699307 1.711641 1.702182 1.733766 1.609912 1.518044 1.70305 1.698953 1.705941 1.660222 1.714566 1.690146 1.72884 1.728339 1.570771 1.576281 1.550273 1.721751 1.653972 1.726986 1.723117 1.714254 1.50535 1.710092 1.717924 1.660222 1.717091 1.7044955
"Bever" 6 1.610155 1.720648 1.711156 1.626423 1.628836 1.611651 1.601462 1.759122 1.688565 1.727699 1.714154 1.477863 1.497791 1.691996 1.732365 1.737963 1.645106 1.704993 1.693268 1.645229 1.707928 1.627543 1.573782 1.609622 1.715016 1.617062 1.733515 1.58862 1.701721 1.503481 1.701408 1.682761 1.626423 1.704993 1.685663
"Bever" 7 1.465422 1.730872 1.698855 1.611114 1.672146 1.604901 1.609973 1.725992 1.746425 1.699364 1.694109 1.513302 1.509344 1.688558 1.691768 1.712813 1.671297 1.689653 1.707432 1.657103 1.726031 1.611177 1.58567 1.625569 1.697579 1.505406 1.724522 1.650815 1.722652 1.514341 1.683792 1.671576 1.625569 1.697579 1.677969
"Bever" 8 1.407402 1.736142 1.713979 1.645693 1.502827 1.621276 1.585376 1.702513 1.681271 1.676916 1.681626 1.548355 1.487641 1.617997 1.600111 1.668933 1.742803 1.69543 1.730258 1.621445 1.721881 1.557077 1.632084 1.568482 1.634813 1.489441 1.745124 1.608572 1.701028 1.49898 1.703253 1.673785 1.608572 1.681626 1.640253
"Bever" 9 1.410363 1.712324 1.724313 1.659474 1.478609 1.563791 1.638748 1.747717 1.740375 1.661969 1.73394 1.573067 1.431999 1.617141 1.547093 1.535911 1.693742 1.699799 1.726867 1.640095 1.681047 1.460007 1.633149 1.580661 1.570471 1.667222 1.700566 1.614203 1.685824 1.515771 1.707093 1.671431 1.580661 1.685824 1.6497845
"Bever" 10 1.271313 1.698072 1.724602 1.646913 1.540511 1.657172 1.610686 1.715752 1.746519 1.666799 1.690241 1.584769 1.448243 1.625916 1.550586 1.527976 1.691479 1.698117 1.715363 1.371901 1.779219 1.528086 1.619872 1.649981 1.60504 1.697453 1.688621 1.646304 1.693195 1.504005 1.687472 1.674815 1.610686 1.690241 1.6535765
"Bever" 11 1.224353 1.713136 1.668714 1.630167 1.550766 1.633713 1.630568 1.736597 1.758136 1.486995 1.688618 1.493395 1.453533 1.666915 1.527079 1.526106 1.695794 1.717758 1.762022 1.307727 1.697524 1.488484 1.61905 1.642711 1.555839 1.714828 1.65938 1.627475 1.634156 1.49889 1.698213 1.633607 1.555839 1.668714 1.63366
"Bever" 12 1.221204 1.755459 1.646164 1.69549 1.366998 1.607737 1.581216 1.723167 1.642004 1.494 1.664192 1.547583 1.448215 1.640046 1.474841 1.488815 1.717677 1.744753 1.688462 1.305253 1.748817 1.495393 1.62829 1.599726 1.617521 1.47052 1.655392 1.55253 1.674481 1.495669 1.730682 1.657389 1.547583 1.657389 1.6229055
"Bever" 13 0.999048 1.702943 1.339815 1.645672 1.36175 1.585221 1.601216 1.664201 1.651606 1.554698 1.689789 1.532499 1.437563 1.691472 1.546034 1.525823 1.710079 1.689258 1.762596 1.30595 1.716646 1.488916 1.520917 1.601996 1.617935 1.477747 1.659036 1.670837 1.644978 1.454996 1.68236 1.712247 1.532499 1.664201 1.6099655
