Site Latitude Longitude Altitude Temp_moy Temp_min Annual_ppt Na(kg.ha.an) ProdMax(T.ha.an)
Huttwil 47.10 7.90 638 8.10 -2.05 1290 100 4.91
Bern 46.90 7.40 570 8.40 -2.66 1006 100 4.55
Adelboden 46.50 7.60 1325 5.50 -3.27 1351 80 3.57
Schaffhausen 47.70 8.60 400 8.60 -2.03 882 80 3.41
Basel 47.50 7.60 317 9.20 -0.99 784 80 3.23
Schwerin 53.60 11.40 45 8.20 -1.78 625 60 2.81
Davos 46.80 9.80 1590 3.00 -7.48 1007 60 2.25
Bever 46.60 9.90 1712 1.50 -10.17 841 60 2.14
Cottbus 51.80 14.30 76 8.80 -2.13 573 60 2.11
GrandeDixence 46.10 7.40 2166 1.20 -7.22 1016 60 2
Sion 46.20 8.60 542 9.70 -2.51 597 60 1.11
