"Di_incr"	"species_incr"	"Di_decr"	"species_decr"	"lost_at_simul"	"nb_sp_lost"
3.4407273141339	"CBet"	5.91164313584738	"AVir"	2	1
3.50445226944713	"FExc"	5.66081750476897	"PMon"	3	2
3.51845846677564	"APse"	5.59937170768693	"TBac"	4	3
3.63557912119768	"CSat"	5.45088151904219	"AAlb"	5	4
3.70032665350851	"ACam"	5.43859590321483	"PCem"	6	5
3.84390347447605	"FSyl"	5.12023310117073	"LDec"	7	6
3.8505448569429	"SAuc"	4.66257804432037	"BPen"	8	7
3.86108071747658	"CAve"	4.54173654409529	"QRob"	9	8
3.86628219362894	"QPet"	4.54005779679717	"PAbi"	10	9
3.90985874801175	"SAlb"	4.32814443523422	"PSyl"	11	10
3.91611390270515	"TCor"	4.25789614695819	"PNig"	12	11
3.96011541644128	"APla"	4.20036271601683	"AInc"	13	12
3.96304498896519	"PTre"	4.13823208797057	"UGla"	14	13
4.02463010421773	"SAri"	4.10423678579605	"TPla"	15	14
4.08073778979974	"QPub"	4.08238233777311	"AGlu"	16	15
4.08238233777311	"AGlu"	4.08073778979974	"QPub"	17	16
4.10423678579605	"TPla"	4.02463010421773	"SAri"	18	17
4.13823208797057	"UGla"	3.96304498896519	"PTre"	19	18
4.20036271601683	"AInc"	3.96011541644128	"APla"	20	19
4.25789614695819	"PNig"	3.91611390270515	"TCor"	21	20
4.32814443523422	"PSyl"	3.90985874801175	"SAlb"	22	21
4.54005779679717	"PAbi"	3.86628219362894	"QPet"	23	22
4.54173654409529	"QRob"	3.86108071747658	"CAve"	24	23
4.66257804432037	"BPen"	3.8505448569429	"SAuc"	25	24
5.12023310117073	"LDec"	3.84390347447605	"FSyl"	26	25
5.43859590321483	"PCem"	3.70032665350851	"ACam"	27	26
5.45088151904219	"AAlb"	3.63557912119768	"CSat"	28	27
5.59937170768693	"TBac"	3.51845846677564	"APse"	29	28
5.66081750476897	"PMon"	3.50445226944713	"FExc"	30	29
5.91164313584738	"AVir"	3.4407273141339	"CBet"	31	30
