"Dispersal.unit.dry.mass" "Fine.root.length.per.fine.root.dry.mass..specific.fine.root.length..SRL." "Leaf.area..in.case.of.compound.leaves.undefined.if.leaf.or.leaflet..undefined.if.petiole.is.in..or.excluded." "Leaf.area..in.case.of.compound.leaves..leaf..petiole.excluded." "Leaf.area..in.case.of.compound.leaves..leaf..petiole.included." "Leaf.area..in.case.of.compound.leaves..leaf..undefined.if.petiole.in..or.excluded." "Leaf.area..in.case.of.compound.leaves..leaflet..petiole.excluded." "Leaf.area..in.case.of.compound.leaves..leaflet..petiole.included." "Leaf.area..in.case.of.compound.leaves..leaflet..undefined.if.petiole.is.in..or.excluded." "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...petiole.excluded" "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...petiole.included" "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...undefined.if.petiole.is.in..or.excluded" "Leaf.carbon..C..isotope.signature..delta.13C." "Leaf.carbon.nitrogen..C.N..ratio" "Leaf.chlorophyll.content.per.leaf.dry.mass" "Leaf.dry.mass.per.leaf.fresh.mass..leaf.dry.matter.content..LDMC." "Leaf.lifespan..longevity." "Leaf.nitrogen..N..content.per.leaf.dry.mass" "Leaf.phosphorus..P..content.per.leaf.dry.mass" "Leaf.thickness" "Leaf.width" "Plant.height.vegetative" "Plant.lifespan..longevity." "Root.length.per.root.dry.mass..specific.root.length..SRL." "Root.rooting.depth" "Root.shoot.ratio" "Seed.dry.mass" "Species.environmental.indicator.value.according.to.Ellenberg..continentality" "Species.environmental.indicator.value.according.to.Ellenberg..light" "Species.environmental.indicator.value.according.to.Ellenberg..moisture" "Species.environmental.indicator.value.according.to.Ellenberg..nitrogen" "Species.environmental.indicator.value.according.to.Ellenberg..pH" "Species.environmental.indicator.value.according.to.Ellenberg..salt.tolerance" "Species.environmental.indicator.value.according.to.Ellenberg..temperature" "Stem.specific.density..SSD..or.wood.density..stem.dry.mass.per.stem.fresh.volume."
"Abies alba" NA 1286 269.302127659574 NA 11.9607142857143 27.4841 NA 41.68 27.4841 NA 7.46013311660717 7.41043297533103 -27.66 42.2207338529233 NA 0.522390793828887 98.4 12.83758737383 1.44999340421153 0.473838541666667 2.05 46.8438933333333 516.666666666667 NA NA NA 65.6128343137255 NA NA NA NA NA NA NA 0.42575852004481
"Acer campestre ssp. campestre" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.5 12.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Acer platanoides" 137.233333333333 1824.37559458333 17392.5 NA 8470.64333333333 6890.27383333333 7628.58967032967 NA 6846.15883333333 18.4735456922241 25.2103394506866 18.4137405493175 -27.21 45.319148936 NA 0.373651883412853 6 22.3190972261806 1.77871270839649 0.126491313131222 15 23.9153571428571 233.333333333333 2720 1.016 NA 120.956073413154 NA 4 5 7 6 0 5 0.537388530998473
"Acer pseudoplatanus" 106.962333333333 2592.45936984286 17392.5 8365.18333333333 8876.45833333334 9874.05666666667 8266.85610119048 NA 6203.98354609929 14.0624860815679 21.6235503481579 16.104038797444 -27.55 28.3057686665136 NA 0.352510929478933 6 24.243551516558 1.954292110829 0.170194596354375 NA 17.5401730769231 450 3200 0.6296 NA 87.9484671795214 2 3 5 5 4.66666666666667 0 4 0.491304513639731
"Alnus glutinosa" 1.197 2672.8942373 3162 3462.96666666667 3785.43333333334 1717.65555555556 3415.61076190476 NA 2153.98333333333 15.7812644228676 16.8795920431227 16.7975653712599 NA 33.943231167 4.93516243945 0.325161855752001 7.5 31.121098639449 2.13765873016191 0.122105555555556 5.5 22.7715625 126.923076923077 NA 0.2182 NA 1.82714549279442 NA 5 8 6 6 0 NA 0.421581915909347
"Alnus incana" 0.55 NA NA NA 2920.02 2185 2661.08 2721.438 2185 15.8518185133482 28.7516117074739 17.058532885579 -29.616666665 28.1072248803401 NA 0.233862793159609 3.6 31.2893703583666 1.47411029283818 NA 6.6 15.8344533333333 50 NA 0.5048 NA 1.16168555410932 NA 6 7 4 6 0 NA 0.484555
"Alnus viridis ssp. crispa" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.048 NA NA 0.508 NA 0.351913496376811 NA NA NA NA NA NA NA NA
"Alnus viridis ssp. sinuata" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.096 NA NA 0.254 NA 0.368342617980299 NA NA NA NA NA NA NA NA
"Betula pendula" 0.128333333333333 1942.03969025 1685.11183576812 1181.11111111111 1230.97166666667 993.955277777777 1159.77678197065 NA 1117.60703703704 14.3743824863365 19.5713511707354 16.4567376012138 NA 19.7452180846525 4.37687105075401 0.370211664161836 5.4 25.0588617948772 2.61041223040345 0.182736071428571 3.25 1.92440288250709 115 NA 0.5624 0.285495373142857 0.403996181696717 3 6 4 3 3.5 0 3 0.543260016531197
"Carpinus betulus" 63.9208571428571 2237.03037778571 3162 2021 2078.86527777778 2316.16 2412.05 2009.485 2316.16 32.1973368139731 26.2185173338636 15.0885795833333 -27.8333333333333 2 NA 0.254412142857143 6 23.4785714285714 2.28415099285714 0.15299755102 NA 21.3469069767442 152.222222222222 NA NA 0.260089686 42.2856289316239 NA 4 5 6 5 0 5 0.716935555555556
